Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
4 in 1 cafea mix energy boost Doncafe,463,4,15,78,0,1 plic = 18 g
Alge marine deshidratate,294,44.7,5.9,38.1,4.6,1 punga=100gr
Aluat foietaj Bella,383,7,24,36,0,
Aluat foietaj Winny,383,7,4,36,0,
"Amestec de merisoare, goji si agrise Jasmin",310,3.6,1,71.7,5,1punga = 100 g
"Amestec miere, polen, propolis, laptisor de matca Energo Forte",376.3,6.7,1.4,81.9,0,
Aperitiv vegetal cu naut Velicia,320,10.3,29.8,2.6,0,1 conserva = 130 g
Bagheta pescareasca Gusturi Romanesti,107.7,20,3,0.1,0,1 bagheta = 200 g
Baton cu arahide Nutbar Elmas,483,14.9,31.2,43.6,5,1 baton =35 g
Baton vegetal Inedit,225,11.3,18.6,3.2,1.8,1 baton = 300 g
Bautura din soia cu aroma de choco Alpro,63,3,1.8,8.3,0.8,
Bautura din soia cu aroma de vanilie Joya,56.5,2.9,1.7,7.4,0.5,
Bautura din soia Joya,42.1,3,1.7,3.7,0.5,
Bautura naturala bio de soia fara adaos de zahar Provamel,35,3.7,2.2,0.1,0.6,
Blat pizza Happy Baker,248.7,6.9,2.5,47.9,0,
Bors de putina Tecuci,7,0.3,0,1.4,0,
Bors Olimpia,3,0.3,0.1,0.8,0,
Branza pentru vegetarieni Mega Image,300,1.5,26,16,0,1 pachet = 200 g
Bruschetine cu ciuperci Montalbano,294,1.9,30.2,2.5,2.2,1 borcanel =130 g
Budinca de  vanilie Original Pudding Dr.Oetker,102,2.8,2.8,16.5,0,1 portie preparata = 148.5 g
Bulion de rosii Ortomio,23,1.3,0.2,4,0,
Bulion fara zahar,38,1.7,0.2,9,1.9,
Bulion Sultan,88,3.8,0.7,17.7,2.3,1 cutie = 800 g
Cacao Belbake Lidl,357,19.8,20.7,8.8,0,
Cacao Bournville Cadbury,330,23.1,21.7,10.5,12.1,1 lingurita = 4 g
Cacao cu continut redus de grasimi Cosmin,258,23.1,11.9,14.5,0,1 pachet = 50 g
Cacao instant Alnatura,396,7.3,6.8,71.5,10,
Cacao instant cu vitamine si minerale Nesquik Plus,379,4.5,2.5,82,6.9,
Cacao pudra,229,20,14,54,33,1 lingurita = 5 g
Cacao pudra cu zahar,365,29,3,56,5,1 lingurita = 5 g
Cacao pudra Pedro Mayo,213,25,10,9.9,34,1 lingurita cu varf = 3 g
Cafea 2 in 1 fara zahar la plic Doncafe,579,7,42,42,0,1 plic = 7 g
Cafea 3 in 1 La Festa choco,418,2.4,8.9,82.1,0,1 plic = 12.5 g
Cafea 3 in 1 Nescafe Mild,295,2.2,12.2,44.2,0,1 plic = 15 g
Cafea 3 in 1 Strong Nescafe,397,2.8,12,69.3,0,1 plic = 15 g
Cafea 4 in 1 Doncafe,452,1,16,75,0,1 plic = 18 g
Cafea frappe cu aroma de rom Nescafe,397,10.5,8.7,66.6,0,1 pliculet = 11 g
Cafea frappe Original Nescafe,392,14.5,4.2,73.2,0,1 plic = 18 g
Cafea instant 3 in 1 Milka Jacobs,420,7.7,8,79,0.6,1 plic = 18 g
Cafea mix memory boost Doncafe,459,4,15,77,0,1 plic = 18 g
Cafea solubila 2 in 1 cafea & creamer Nescafe ,478,2.9,25.6,48.6,4.6,1plic = 10 g
Cappuccino Choco Doncafe,442,3,12,79,0,1 plic = 18 g
Cappuccino Choco Nescafe,408,9.2,11,68,0,1 plic = 18.5 g
Cappuccino cu ciocolata Boutique Cafe,380,2.2,7.4,76,0.1,1 punga = 100 g
Cappuccino Specials Milka Jacobs,410,8.9,13.5,63,0,1 plic = 18 g
Cascaval vegetal Delaco,293,3,20,22,0,
Cascaval vegetal Forma,320,8,28,10,0,140
Castraveti in otet Defne,12.4,0.6,0,2,1,1 borcan = 345 g net
Ciocolata calda alba la plic Don Cafe,425,8,10,74,0,1 plic = 20 g
Ciocolata calda Don Cafe,380,5.9,5.9,80.5,4.6,1 plic = 20 g
Ciorba de burta Maggi,23.2,0.6,1.4,0,0.1,
Ciorba pui cu smantina Scandia ,99,4.3,7.9,2.6,0,
Completa coffee creamer,551,2,35,57,0,1 lingurita = 5 g
Concentrat cu gust de legume Maggi,245,6.7,13.2,22.9,0,1 cub = 10 g
Conserva carnaciori cu fasole boabe Sadu,164,7.9,10,10.5,0,1 buc = 300 g
Conserva ciorba de vacuta Scandia Traditii,71,0.5,3.8,4.3,0.1,
Conserva cu salata de vita cu maioneza si legume Olympia,78,4.4,2.4,9.5,0,1 conserva = 400 g
Conserva de salata vinete libaneza Darinne,106,3.5,3.7,15,1.2,1 conserva = 360 g
Conserva salata de ton mexicana Delhaize,644,10,8,10,2.8,1 conserva = 250 g
Conserva sardine in sos tomat John West,164,17,10,1.5,0,1 cutie = 120 g
Cordon bleu de pui Carrefour,216,15.5,11.6,12.3,0,
Couscous Garbiit,137,6.5,4,18,1.5,
Crema de arahide bio Alnatura,645,26.6,53.5,9.2,10,
Crema de unt cu mirodenii Gustoso,360,2.5,38,2,0,1 cutie = 200 g
Crema tartinabila cu hrean si sunca Toppo Lidl,234,6.8,19.6,7.3,0.7,1 cutie = 135 g
Crema tartinabila somon si arpagic Toppo Lidl,608,5,64,3,0,1 cutiuta = 80 g
Crema tiramisu Dr. Oetker,146,4,4.3,22.8,0,1 cutie = 60 g
Crenvursti vegetali Cris-Tim,223.4,13.3,14.4,10.1,0,
Crochete cu susan si mac  Arcada,362,7,16,45,0,
Crochete vegetale din soia Inedit,91.5,7.1,3.2,8.3,0,1 cutie = 150 g
Cub concentrat cu gust de gaina Maggi,245,4.5,11.2,31.5,0,1 cub = 10 g
Cuburi de supa de gaina,359,29.5,26.8,0,0,
Ddrojdie uscata activa Pakmaya,390,42,6,40,0,1 pachet = 80 g
Drajeuri cu cirese Halls,390,0,0,96.9,0,1 drajeu = 3.7 g
Drojdie cu ierburi Erntesegen,208,49,0,2.9,0,1 borcan = 150 g
Dulceata de pere,271,0.4,0,70.9,0,
