Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Amestec branzeturi maturate Agriform,390,35,26.5,3,0,
Batoane mozzarella Cheesetrings Ficello,285.7,28.5,19,0,0,1 baton = 21 g
"Branza 0,4% Line Korniger Frischkase",72,15.5,0.4,1.6,0,
Branza 10% Fagaras Monor,138,7,10,4,0,1 cutie = 200 g
"Branza 4,2% Fagaras Monor",123,7.2,8.2,4.2,0,1 cutie = 200 g
Branza afumata Scamorza Alpilatte,288,22,22,0.5,0,
Branza alba natur 20% Milbona,75,7.8,3.3,3.5,0,1 cutie = 100 g
Branza albastra bio Castello,430,13,42,0.1,0,
Branza albastra Danish Blue Cheese Original Castello,340,19,29,0.1,0,
Branza Almkase,312,18,26.5,0,0,
Branza Brie,337,20.8,27.7,0.5,0,
Branza Brie Campus,361,16,33,0,0,1 buc = 200 g
Branza brie cu mucegai Cambozola,434,13.5,42,0.5,0,
Branza brie Ja!,365,17,32.5,1,0,
Branza Brie Louis d'Or,363,16.5,33,0.1,0,1 buc = 200 g
Branza brie natur Milkana,350,17.5,31,0.3,0,1 buc = 125 g
Branza Brie Princip!,290,21,23,0,0,
Branza Brie Vian,365,17,32.5,1,0,1 bucata = 200 g
Branza burduf afumata Gordon,280,13.4,24,2.6,0,
Branza burduf Biomilk,284,20,22,1,0,
Branza burduf de Ibanesti,328,0,45,0,0,
Branza burduf Napolact,256,17,20,2,0,
Branza burduf Raraul,280,20,22,0,0,
Branza Camembert,308,21.5,23,1.5,0,
Branza camembert Bergpracht,282,21,21,1,0,1 buc = 65 g
Branza camembert Chene d'Argent Lidl,265,19,21,0,0,1 cutie = 250 g
Branza Camembert From'Dor,287,22,22,0.3,0,1 buc = 125 g
Branza Camembert Milkana,356,18,31,1.3,0,1 pachet = 120 g
Branza Camembert Striegistaler Zwerge,280,20,22,0.5,0,250
Branza capra eco. Tebstrup,337,19.9,27.9,2,0,
Branza capra maturata Real,198,13.1,15.8,1,0,
Branza capra Soignon,152,10,12,0,0,
Branza Certosa Galbani,278,14.5,23.5,2,0,
Branza cheddar Auchan,157,10.4,12.8,0,0,1 felie = 20 g
Branza cheddar Deluxe Lidl,410,25,34,0.1,0,
Branza Comte,413,30,32,0,0,
Branza cottage 3% Exquisa,83,13,3,1,0,1 cutie = 200 g
Branza cottage 4% Premio Unicarm,84,11,4,1,0,1 galetusa = 500 g
Branza Cottage 5% grasime Tnuva,93,10.5,5,1.5,0,1 cutie = 175 g
Branza cottage Arla eco.,100,13,4.5,2.5,0,
Branza Cottage Cheese Danone ,92,11.9,3.9,2.2,0,1 cutie = 200 g
Branza cottage cheese Longley Farm,104,10.3,6,2.2,0,
Branza Cottage cu ardei gras rosu 5% Tnuva,101,10.8,5,2.9,0.6,
Branza cottage cu masline verzi Mega Image,105,10.9,4.9,4,0.2,1 cutie = 200 g
Branza cottage Delaco,77,12,2.2,2,0,1 cutie = 175 g
Branza Cottage Exquisa,97,13,4.3,1.5,0,1 cutie = 200 g
Branza Cottage Hochland,104,12.3,4.8,2.9,0.5,1 cutie = 175 g
Branza cottage Kaufland,104,12,4.8,2.3,0,1 cutie = 200 g
"Branza Cottage light 2,2% Hochland",77,12,2,3,0,1 buc = 175 g
Branza Cottage Sainsbury's,111,9.2,6,4.8,0.4,
Branza Cottage Tnuva,126,10,9,1.2,0,1 cutie = 200 g
Branza Creamy Blue Milkana,357,18.5,31,1,0,1 pachet = 100 g
Branza cremoasa natural Hacendado,243,4.7,23,4.1,0.2,1 cutie = 300 g
Branza cu capsuni Quark Dessert Exquisa,134,5.2,6,14.9,0,
"Branza cu gust de lapte Miez de lapte 0,2% Delaco",66,12,0.2,4,0.6,1 cutie mica = 75 g
Branza cu mucegai alb Brie President,347,17,31,0,0,1 pachet = 200 g
Branza cu mucegai albastru Dorblu Classic,337,19,29,0,0,
Branza cu mucegai Danish blue cheese Viking,340,20,29,1,0,1 triunghi = 100 g
Branza cu smantana Moldovita,103,10.2,5.3,0,0,1 cutie = 185 g
Branza cu usturoi Boursin,406,8.5,40,3,0.2,
Branza cu verdeata 365 Mega Image,241,6,23,2.5,0,1 cutie = 150 g
Branza daneza,450,6,19,62,1,
Branza Danish White for salads & bread Arla,240,9,21,3.5,0,1 pachet = 500 g
Branza de burduf afumata Rodna,327,25,25,0.1,0,
Branza de burduf Big Panda,260,18,20,2,0,1 tub = 450 g
Branza de burduf Carrefour,260,16,18,8,0,
Branza de burduf Covalact de tara,304,20,24,2,0,1 tub = 300 g
Branza de burduf Hochland,272,18,22,0.5,0,
Branza de burduf oaie si vaca Unilact,260,16,16,13,0,
"Branza de Burgos 0,1% Alipende",71,13,0.1,4,0,
Branza de capra cu ierburi LaColline,300,20,25,0,0,
Branza de capra cu verdeata Delaco,296,22,22,1,0,1 pachet = 200 g
Branza de capra Petit Chebra,302,19,25,0.2,0,
Branza de capra rulou clasic Zana,301,19.5,24.5,0.5,0,1 rulou = 100 g
Branza de capra rulou Mega Image,301,19.5,24.5,0.5,0,
branza de capra tartinabila La Colline,184,10.4,15.6,0.5,0,
Branza de oaie Manchego Lidl,455,27,38,1.3,0,
Branza de vaca cu aroma vanilie Galacta,155,18.5,4.2,11,0,
Branza de vaca grasa 28% Olay,310,13,28,1.5,0,
Branza de vaca semi-grasa,147,16.2,7,3.7,0,
Branza de vaca Talia Olympus,260,17,21,0.6,0,
"Branza de vaci 0,2% Delaco",70,12,0.2,4.1,0,1 cutie = 250 g
"Branza de vaci 0,2% Ehrmann",55,8.3,0.2,5,0,1 cutie = 250 g
Branza de vaci 5% Casuta Mea,124,17,5,1.8,0,1 pachet = 500 g
Branza de vaci Bucataria Noastra Prodlacta,309.6,8.3,30,1.6,0,1 cutie = 400 g
Branza de vaci cremoasa Dr. Oetker,82,10.2,3,3.6,0,1 cutie = 450 g
Branza de vaci cu ardei gras Raraul,104,10.3,5.2,4.2,0.2,1 cutie = 175 g
"Branza de vaci cu smantana 5,3% Moldovita",103,10.2,5.3,3.6,0,1 cutie = 185 g
"Branza de vaci cu smantana Fagaras 5,3% Raraul",103,10.2,5.3,3.6,0,1 cutie = 200 g
Branza de vaci cu visine Raraul,126,9.2,5.3,10.6,1,1 cutie = 175 g
Branza de vaci degresata Petit Suisse,85,9.5,3.8,3.5,0,
Branza de vaci Hochland,96,11.3,4,3.6,0,1 cutie = 175 g
Branza de vaci Naturella,97,13,4.3,1.5,0,
Branza de vaci Petit Suisse,132,9,9.2,3.4,0,
"Branza de vaci proaspata degresata 0,5% Pilos",89,19.8,0.5,3.5,0,1 punga = 275 g
Branza de vaci slaba 0.5% Covalact de Tara,81,17,0.5,2,0,1 cutie = 200 g
"Branza degresata 0,5% Cora",81,16,0.5,3,0,1 cutie = 200 g
"Branza dietetica de vaca 0,1% Lacteea Slim",68,12.3,0.1,3.5,0,
Branza dietetica Natura,176,13,5,10,0,
Branza double cream Akadia,240,8.5,21,3,0,
Branza dulce Burgos natural Mama Louise,118,11,6.5,4,0,1 cutie = 125 g
Branza Edamer Bluedino,334,25,26,0,0,1 pachet = 350 g
Branza Emmentaler Scheiben Campus,388,30.5,29.5,0.1,0,1 felie = 25 g
Branza Exquisa Quark cu straciatella,99,6.4,1.7,14.4,0,
Branza Fagaras 3% Raraul,87,11.6,3,3.5,0,1 cutie = 200 g
"Branza Fagaras 5,3% Pilos",103,10.2,5.3,3.6,0,1 cutie = 200 g
Branza Fagaras Aro,106,13,6,3.5,0,1 cutie = 200 g
Branza Fagaras Bueno,109,11.5,11,2.2,0,
Branza Fagaras Covalact,116,8.5,8,2.6,0,1 cutie = 200 g
Branza Fagaras Hochland,105,9,6,3.8,0,1 cutie = 175 g
Branza Fagaras Lactate Harghita,147,9,11,3,0,1 cutie = 200 g
Branza Fagaras LaDorna,180,7.9,15.8,1.4,0,1 cutie = 200 g
Branza Fagaras Napolact,117,8.3,7.5,4.1,0,1 cutie = 175 g
Branza Fagaras usoara Covalact De Tara,86,12.2,3,2.5,0,1 cutie = 200g
Branza feliata emmentaler Apetito,210,14.5,14,6.5,0,
Branza feliata Klovborg,320,24,25,0.1,0,
Branza felii Gouda Benjamin Milram,357,24,29,0,0,
Branza fermentata Gusturi Roamanesti Mega Image,303,20.2,23.5,0.3,0,
Branza feta,264,14.2,21.3,4.1,0,
Branza feta Al Marai,178,14.5,10,4.5,0,
Branza feta bio Andechser,280,15,24,1,0,1 pachet = 180 g
Branza feta El Ventero,212,11.7,16.8,3.6,0,
Branza feta Fitaki Original,225,10,17,8,0,1 cutie = 500 g
Branza feta Irma,240,17,19,0.5,0,
Branza Feta Olympus,276,16.5,23,0.7,0,1 pachet  = 450 g
Branza feta Princip!,275,16,23,1,0,
"Branza fiocchi di latte 4,3% Alpina",97,13,4.3,1.5,0,
Branza french garlic Le Roule,296,7.8,27.3,4.1,0,
Branza Goldessa light,99,12,4,3.3,0,1 cutie = 200 g
Branza gouda Bluedino Lidl,334,25,26,0,0,1 buc = 350 g
Branza Gouda Gold,400,23,30,0,0,
Branza gouda Holland Lidl,394,26.6,31.9,0,0,1 buc = 450 g
Branza Gouda light 365,272,30,17,0.8,0,
Branza Gouda Mini Babybel,381,23.8,28.6,0,0,1 buc = 20 g
Branza Grana Padano Zarpellon,387,33,28,0,0,1 bucata = 200 g
Branza grasa de vaca 20% in substanta uscata Lacteea ,97,10.8,4.4,3.6,0,
Branza grasa de vaci Premio Unicarm,138,15,8,1.5,0,
Branza grasa proaspata de vaca Milli Perfecto,161,16.8,7.5,6.5,0,1 pachet = 250 g
Branza grasa proaspata Napolact,152,17,8,3,0,1 pachet = 500 g
Branza greceasca feta organica Sainsbury's,267,16.5,22,0.7,0,
Branza grill Akadia,245,17,19,3,0,1 pachet = 250 g
Branza halloumi,321,21.4,25,3.6,0,
Branza halloumi Mediterranea,314,21.3,24.6,1.8,0,1 buc = 200 g
Branza in stil italienesc Pilos,206,12.2,15.5,4.5,0,1 buc = 220 g
Branza Jarlsberg,351,27,27,0,0,
Branza light 0% Burgo de Arias,66,12,0.2,3.8,0.6,
Branza light El Ventero,267,19.9,19.8,2.2,0,
Branza Liptauer,317,12,29,2,0,
Branza Maasdamer,347,26,27,0.5,0,
Branza mascarpone 365,376,4.5,38,4,0,1 cutie = 250 g
Branza Mascarpone Aldi R,392,4.5,40,3.5,0,1 cutie = 250 g
Branza mascarpone Delaco,389,3.2,39.8,4.4,0,1 cutie = 250 g
Branza mascarpone Galbani,412,4.8,41.5,4.8,0,
Branza mascarpone K-Classic Kaufland,365,5,37,3,0,1 cutie = 250 g
Branza mascarpone Milfina,397,3.8,41,2.5,0,
Branza mascarpone Naturella,374,5,37.5,4,0,1 buc = 250 g
Branza maturata de capra LactIQ,307,19.5,24.5,2.2,0,
Branza maturata Jacobsen,340,26,26,1.6,0,
Branza Milfina,271,12,23,4,0,
Branza moale cu mascarpone Pilos,276,10,24,5,0,1 felie = 15 g
Branza moale sarata 18% Pilos,218,10,18,4,0,
Branza mozzarella  Italiamo,267,21,20,0.8,0,1  buc  = 400  g
Branza mozzarella Bonas,256,16,20,3,0,1 baton = 500 g
Branza Mozzarella Goldsteig,337,25.5,25,2.5,0,o punga = 200 g
Branza mozzarella light 365 Mega Image,251,19,19,1,0,
Branza mozzarella light Goldsteig,165,20.5,8.5,1.5,0,
Branza mozzarella Real,294,23,22,1,0,
Branza mozzarella Zottarella Light,157,19,8.5,1,0,
Branza organica feta greceasca Tesco,275,16,23,1,0,
Branza pentru gratar cu busuioc Gazi,318,19.8,24,2,0,1 cutie = 225 g
Branza pentru pizza delicii calde Hochland,322,25,24,1.5,0,1 punga = 250 g
Branza pentru salata Danish White Arla,243,11,21,2.5,0,
Branza perle cu smantana LaDorna 2%,64,10,2,1.5,0,1 cutie = 300 g
Branza Philadelphia Duo,300,5.9,28,4.6,0.9,
Branza proaspata 0% grasime de vaca ProdLacta,73,17,0,1.3,0,
"Branza proaspata 0,2% Delaco",70,12.3,0.2,4.1,0,1 cutie = 250 g
Branza proaspata 365,279,6,27,4,0,1 cutie = 200 g
Branza proaspata Burgos ,165,9.2,12.7,3.6,0,
Branza proaspata cu verdeata Schnittlauch ,103,12.5,4.5,3,0,1 cutie = 200 g
Branza proaspata de vaca Bonas,72,14,0.2,3.5,0,
"Branza proaspata de vaci 0,5% dietetica Bueno",82,16,0.5,3,0,1 cutie = 275 g
Branza proaspata de vaci 20% Bio Spar,97,10.8,4.4,3.6,0,1 cutie = 200 g
Branza proaspata de vaci 5% Mega Image,100,11,5,3,0,
Branza proaspata de vaci cu ananas Pilos,153,8,5,19,0,1 cutie = 300 g
Branza proaspata de vaci cu nuci Pilos,142,10.2,5,14,0,1 cutie = 300 g
Branza proaspata de vaci cu smantana Fagaras Monor,117,8.3,7.5,4.1,0,1 cutie = 200 g
Branza proaspata de vaci dietetica 1% Big Panda,101,13,1,10,0,250 g
Branza proaspata degresata de vaca Napolact,164,13,8,10,0,
Branza proaspata dietetica Lactag,68.5,15,0.5,1,0,1 cutie = 300 g
Branza proaspata felii Exquisa,316,9.7,29.5,3,0,
Branza proaspata light 365,156,11,11,2.9,0,1 pac = 200 g
Branza proaspata Robiola Nonno Nanni,307,6,30.5,2,0,
Branza proaspata slaba cu iaurt Exquisa,83,13,3,1,0,1 cutie = 200 g
Branza proaspata tartinabila Kaufland,247,6,23.5,2.8,0,1 cutie= 200 g
Branza Provolone Auricchio,398,25,33,0.2,0,
Branza pufoasa cu somon Delaco,261,7.8,24,3.5,0,1 cutie = 140 g
Branza quark 20% Milbona,71,7.8,2.9,3.5,0.1,1 cutie = 500 g
Branza ricotta,138,11,8,5,0,
Branza Ricotta Carrefour,101,7,6.5,3.7,0,1 cutie = 250 g
Branza ricotta Delhaize,150,7.5,12,3,0,1 cutie = 250 g
Branza ricotta fresca Merivio,118,7.9,7.8,4.1,0,
Branza Ricotta Galbani Santa Lucia,155,8,11,6,0,
Branza Ricotta Lovilio,114,7,8,3.5,0,1 cutie = 250 g
Branza ricotta Prestigio,163.6,9,12.7,3.6,0,
Branza Ricotta Unicarm,90,7,6,2,0,
Branza Salzburger Milfina,381,25,31,0,0,
Branza slaba,76.1,14.1,0.5,3.8,0,
Branza slaba de vaca 1% Lactate Harghita,85,17,1,2,0,1 cutie = 200 g
Branza slaba de vaca Milli,100,13,1,10,0,1 pachet = 250 gr
Branza slaba proaspata de vaci 0.5% Gusturi Romanesti,76,16,0.5,2,0,1 cutie = 200 g
Branza St Ruperti cu piper Aldi,454,13.5,44.2,0.5,0,1 buc = 150 g
Branza tartinabila cu hrean bio Hofer,229,5.1,20.2,6.5,0.5,1 cutie = 150 g
Branza tartinabila Fricheso Balance,167,7,14,3,0,
Branza telemea maturata de vaca Hochland,279,15,24,0.7,0,
Branza Tilsiter felii Hochland,380,20,33,0,0,
Branza topita afumata Bluedino,312,13.5,27,3.5,0.5,
