Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Aluat instant pentru paine taraneasca cu adaos de drojdie uscata Rivercote,228,7.7,0.9,47.3,4.8,o punga - 1000 g
Alunite umplute cu crema de cacao Olla,472,6,18,69,5,1 punga = 200 g
Amestec cus cus Hortex,34,2.1,0.5,4.6,0,
"Amestec tarate psyllium, ovaz, in, carob SanoVita",133,7.2,8.2,6.5,24,
Amidon (grau),348,0.4,0.1,86.1,0,
Arahide decojite coapte si sarate Proxi,608,25.1,46.7,18.4,6.8,
Arpacas de grau Deroni,375.2,9.8,2.2,79.1,0,1 punga = 1 kg
Arpacas Deroni,333,9.9,1.7,62,15,1 punga =1000 g
Baton cereale cu cacao Winny,389,7,6.8,74,3.2,1 baton = 20 g
Baton cereale cu ciocolata fara zahar Corny,325,6.4,10.4,66.3,3.3,1 baton = 20 g
Baton cereale cu fructe rosii Aptonia,389,5.3,8.9,71.8,4.2,1 buc = 21 g
Baton cereale cu piersici si caise Stilla Fitness,339,6.3,5,70,0,1 baton = 25 g
Baton cereale Lion Nestle,402,8.3,5.6,77.2,4.8,1 portie = 30 g
Baton cereale si lapte Nesquik snack ,499,6.1,26.4,58.4,0,1 baton = 23 g
Baton cereale Winny,396,5.9,7.2,76,3,1baton = 20 g
Baton cu cereale si ciocolata alba Fitness,388,5.6,7.4,67.7,6.2,1 buc = 23.5 g
"Baton cu cereale, miere, visine si catina Rommac",381,5.9,4.6,80,3,1 baton = 20 g
Baton cu muesli si caise FirstNice,374,4.3,7.7,71,0,1 buc = 30 g
Baton cu musli si alune de padure Crip Crop,393,6.9,14.4,61.8,0,1 baton = 25 g
"Baton cu musli, banana si ciocolata Crip Crop Crunchy",442,8,18,62,0,
Baton cu ovaz si fructe Activ Bar Rommac,321,6,2,77,10,1 baton = 30 g
Baton de cereale ciocolata si coji de portocale Fitness Nestle,374,5.1,5.2,73.4,4,1 buc = 23.5 g
Baton de cereale Fitness Nestle,382,5.1,7,74.8,13.4,1 baton = 23 g
Baton de cereale si capsuni Fitness Nestle,391,5.4,7.1,70.1,4.3,"1 baton = 23,5 g"
Baton de susan cu miere Rommac,524,13.5,30,50,4.8,1 baton = 30 g
Baton musli ciocolata stafide Nestle,401,5.6,9.8,70.4,0,1 baton = 40 g
Baton musli cu fructe de padure si glazura de iaurt Crip Crop,405,5.3,14.5,66.2,0,un baton= 30grame
Baton musli cu zmeura First Nice,367,6.9,5.5,71.9,5,1 baton = 30 g
Batonase hipoglucidice Dobrogea Group,110,3.8,1.3,20,0,
Biscuiti  Maria integral Gullon,429,8,12,73.3,4.7,200
Biscuiti Classico Grancereale Mulino Bianco,460,8,19.9,56.6,11,1 biscuit = 11 g
"Biscuiti cu cereale integrale, stafide si visine Fit Ulpio ",427,7.6,15.2,61.6,3,1 biscuite = 8.6 g
Biscuiti cu susan si mac Croco Mix,470,26,12,61,0,
"Biscuiti digestivi cu prune, smochine si stafide ETI Burcak",417,8.4,19.4,52.2,11,1 pachet = 155 g
Biscuiti digestivi ETi Burcak,450,7,18,71,12,1 pachet = 155 g (1 buc= 8 g)
Biscuiti digestivi Viva,451,7,19,63,7,1 buc = 5 g
"Biscuiti fara sare si fara zahar adaugat, cu indulcitori Ligera Gullon",406,9.3,12.7,55.8,18.2,
Biscuiti fara zahar Gullon,375,11.3,12.8,53.8,18.2,1 biscuite = 6.25 g
Biscuiti graham Baragan,350.5,14.1,9.3,52.6,0,1 biscuite= 5 g
Biscuiti integrali Dolciando,463,8.5,15.4,72.6,6.6,
Biscuiti Nutri-Grain Kellogg's,429,8.5,15,59,13,
Biscuiti petit biscotti Secchi,439,8.4,11.7,74.9,2.6,
"Biscuti cu cereale, lapte si stafide Tismana",455,7.1,18.2,70.5,9.3,
Boabe de naut 365,353,19.5,4.8,58,0,1 punga = 500 g
Briosa,346,9.5,7.5,57.8,3.2,1 buc = 95 g
Cannelloni Buitoni,350,11.5,1.9,71.8,3,"1 buc = 10,4 g"
Cereale All Bran Kellogg's,323,12,1.5,81,15,
Cereale Cheerios  Nestle,375,7,3.7,78.5,5.2,
Cereale cocoa balls Viva,373,6,5,76,3,
Cereale cookie crisp Nestle,377,6.4,3.4,35.3,5.2,
Cereale Crispy Millet SanoVita,388,8,3,80,3.8,1 punga = 250 g
Cereale cu cacao Choco Shells Distins,389,8.1,3,76,6.5,1 punga = 500 g
Cereale cu ciocolata Brumi,384,7.2,2.8,82.5,4.6,
