Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
 Sos de soia premium Cholimex,9,1.9,0,0.2,0,1 sticla = 500 ml
Arpagic proaspat,32,1.8,0.2,7.3,2.6,
Baza pentru mancare cu gust de gaina Delikat,124.9,8.4,0.9,20.6,0,
Baza pentru mancare gust de gaina Gustul de acasa Deli'Kat ,140,8,0.9,19,2.5,
Baza pentru mancaruri Mirodenia Fuchs,124,5.3,2,21.2,9.8,1 plic = 75 g
Bors cu verdeturi Magic Delikat,227,4.5,4.5,32,0,
Busuioc uscat,251,14.4,4,61,40.5,
Cacao calitate extra Dr. Oetker,232,22.3,10.8,11.6,0,1 plic = 50 g
Cacao Van Houten,366,20,21,8.7,28,
Cardamon,311,10.8,6.7,68.5,28,
Chili pudra,314,12.3,16.8,54.7,34.2,
Cimbru uscat,272,7,6,69,46,1 lingurita = 1.4 g
Condiment carne porc Galeo,170,10,6.3,19,0,
Condiment pentru pui Fuchs,133,7.3,3.5,15.5,5.4,
Condimente cartofi cu sunca la cuptor Maggi,338,9.8,13.5,43.9,2.7,1 plic = 50 g
Condimente pentru coaste la gratar Maggi,262,11.4,3.2,43.9,5.9,
Condimente Secretul Gustului verdeturi Maggi,124,6.8,3.2,16.2,1.4,1 punga = 200 g
Coriandru uscat,279,21.9,4.8,52.1,10.4,
Cuburi bulion Gallina Blanca,186,3.9,9,21.4,0,1 cub = 10 g
Curry pudra,325,14.3,14,55.9,0,
Drojdie proaspata,105,8.4,1.9,18.1,0,
Dulceata de ardei iute Bunatati de Topoloveni,236.1,0.5,0,57,0,1 lingurita = 10 g
Frunze de patrunjel,36,3,0.8,6.3,3.3,1 legatura = 30 g
Ghimbir macinat Kotanyi,316,7.4,3.3,60,0,
Granule usturoi,332,16.8,0.8,72.7,9.9,
Ideea zilei baza pentru pui fraget cu usturoi Maggi,112,11.1,6.6,2.1,0.2,1 plic = 36 g
Indulcitor de masa natural Steviolina,362,0,0,90,1,1 lingurita = 2.5 g
Jeleuri de ghimbir Sanovita,365.8,0,0,90.2,2.4,1 cutie = 100 g
Ketchup Bavaria Hellmann's,105,1.6,0.1,24,0.8,
Ketchup dulce Olympia,49,1,0,11.2,0,
Ketchup picant Heinz Hot,104,1,0.1,24.2,0,
Leustean,37,3,0.8,6.4,2,
Maioneza cu ou 365,727,1.2,80.1,0.4,0,1 borcan = 470 g
Marar uscat,253,20,4.4,55.8,13.6,
Mustar,67,4,4,5,3,
Mustar Bunica,113,5,5,12,2,
Mustar clasic Kamis,97,5.1,5.7,6.4,1,
Mustar clasic la borcan Carrefour,114.4,4,6.6,9.7,0,
Mustar clasic Maggi,75,5.4,5.2,4.5,0,
Mustar clasic Regal,117,4,4.5,14,2.2,
Mustar Dijon Kamis,146,7.4,11,2.8,0,1n borcan = 185 g
Mustar frantuzesc Carrefour,147,8.5,8.2,9.5,0,
Mustar Heinz,116,6.5,6,7.6,0,
Mustar K-Classic,110,4.5,6,9,0,
Nucsoara macinata,525,5.8,36.3,49.3,0,
Otet balsamic Modena de nigris 8*,33,0,0,6.7,0,
Otet din vin rosu Carrefour,3.1,0,0,0.7,0,1 sticla = 750 ml
Pasta rodii Durra,85,0,1,19,0.3,
Piper cayenne chilli,318,12,17.3,56.6,27.2,
Radacina de turmeric,354,8,10,65,21.1,
Rozmarin uscat,331,4.9,15.2,64.1,42.6,
Sare  cu ierburi Bio Greno,39,1.6,1.6,4.3,3.5,1 cutie = 125 g
Scortisoara macinata,261,3.9,3.2,79.8,54.3,
Scortisoara macinata HoReCa,317,3.9,3.2,56,0,1 cutie = 250 g
Sofran,310,11.4,5.8,65.4,3.9,
Tarhon frunze uscate,295,23,7,50,7,1 lingurita = 1 g
Turmeric Sunlit,422,21.1,9.9,64.9,5,1 punga = 200 g
Tzatziki Dr.Oetcker,131,3.5,9.8,7.3,0,
Usturoi uscat,331,16.6,0.7,72.7,9,1 lingurita = 10 g
Zahar aromat cu gust de scortisoara Bak Family,398,0,0,99.5,0, 1 cutie = 350 g
Zahar pudra Margaritar,389,0,0.1,99.6,0,
Adaos pentru mancaruri cu gust de gaina Vegeta Podravka,148,9.8,0.5,26,0,1 punga = 500 g
