Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
 Baton de ciocolata Chunky Kit Kat,525,5.4,28.8,61.2,0,1 baton = 40 g
 Ciocolata cu tiramisu Schogetten,560,4,36,52,0,1 cutie = 100 g
 Inghetata de ciocoalta Minuto Betty Ice  ,123,1.5,3,22.7,0,1 pahar = 75 g
Acadea pe bat,392,0,0,100,0,
Alunite umplute cu crema de capsuni Olla,463,7,19,66,3,
Amandina,243.6,6,9.3,35.1,0.8,1buc mica = 80g
Arahide in ciocolata Clickos,492,7.8,25,59,0,
Baclava cu nuca Lidl ,379,3.8,16.6,51.1,5.1,1 cutie = 250 g
Baclava Tatlici Safa ,398,4.6,17.7,56.3,1.3,1 buc = 40g
Banane de ciocolata Bella,383,1.8,11.3,67.9,2.8,"1 bucata = 12,5 g"
Batoane cu merisoare Tre Mulini,361,6.5,4.8,70.9,4.1,1 baton = 21 g
Batoane dietetice ciocolata Gerlinea,382.3,25,11.1,46.5,4.8,1 baton=31 g
Batoane proteice  cu ciocolata si portocale Gerlinea,404,23,15,45.7,5.2,1 baton = 31 g
Baton bio musli si ciocolata Alnatura,420,13.4,4.4,67.3,2.9,1 baton = 25 g
Baton caramel Shapers Crispy,345,3.4,12,76,0.4,1 baton = 29 g
Baton choco-crisp Weight Care,363,22.8,11.5,41.5,6.4,1 baton = 58 g
Baton ciocolata Albeni,486,3.9,26.3,58.4,0,
Baton ciocolata caramel,416,4.5,14,68,0,1 buc = 58 g
Baton ciocolata cu alune hazelnutz Heidi,552,6.3,35.5,51.8,2.3,1 baton = 42 g
Baton ciocolata cu arahide Poiana Delicii,500,9,28,53,0,1 buc = 45 g
Baton ciocolata cu branza dulce Dots Nature Dark,364.4,9.5,18.7,38.2,0,1 baton mare = 51 g
Baton ciocolata cu stafide si rom Fagaras cel mare,440,2.5,61.5,19,0,1 baton = 50 g
Baton ciocolata Hematogen Ekzon,390,6.5,4,82,0,1 baton = 50 g
Baton ciocolata KitKat,521,6.8,27.7,60,1.9,1 baton = 45 g
