Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Aripi pui crude Glenfell Lidl,212,19.1,14.1,1.9,0,1 punga = 1 kg
Aripioare de pui prajite,211,30.1,9.2,0,0,1 buc = 20 g
Bagheta alba sandwich cu salam vienez Pincess,302.4,11.7,16.7,26.5,0,1 buc = 165 g
Bagheta rustica Chives,170.3,10.3,2.3,25.8,0,1 buc = 180 g
Bruschette Pizza Hut,300,8,12,40,2,1 buc = 30 g
Burger de peste Tiko,187,6.7,10.3,17,0,1 buc = 62.5 g
Caffe Latte McDonalds,23.5,1.5,1,2,0,1 buc mediu = 200 g ; 1 buc mare = 300
Cartofi prajiti,319,4,17,38,4,
Cartofi prajiti McDonalds,323,4.2,15.5,40.8,4.2,
Cartofi wedges K-Classic Kaufland,147,2.5,5,22,3,
Cheeseburger McDonalds,263,13,10.5,29,1.5,1 buc = 114g
Chiftele carne porc Dulano Lidl,295,13.9,22,10,0,1 cutie = 500 g
Chili con carne Delhaize,110,7.3,2.1,15.6,4.3,1 cutie =425 g
Clatite cu sunca si branza Carrefour,171,6.3,6.9,20.6,0,1 buc = 50 g
Conserva chili con carne Rancho,161,10,6.9,14.8,0,1 cutie = 300 g
Copan pui reteta originala KFC,237.5,17.2,13.1,12.5,0,1 buc = 80 g
Cordon bleu curcan Toppo Lidl,244,12.5,13,18.7,0.6,1 punga = 1000 g
Crispy Strips KFC,328,14.2,26.4,9.6,1.4,1 buc = 50 g
Croissant simplu Euro Shopper,385,6,24,37,0,1 buc = 45 g
Dil kebab pui Calif,195,9.2,8.3,20.7,1.5,1 buc = 275g
Dublu McPuisor McDonalds,285,12.7,12.1,24.2,1.2,1 buc = 165g
Falafel  365 Mega Image Delhaize,250,6.7,13.5,23.7,0,1 cutie = 220 g
Fasole cu carnaciori Delicios,134,6,6.1,13.7,0,1 cutie = 300 g
Fillet Bites KFC,207,21,10,10,1.7,9 bucati = 225 g
Foietaj branza si cascaval Fornetti,357,9.5,17.2,38.5,0,
Foietaj cu branza dulce Fornetti,287,8.2,11.8,34.9,0,
Foietaj cu ciocolata Fornetti,248,7.9,6.3,38.2,0,
Foietaj cu fructe de padure Fornetti,392,8.1,18.3,46.2,0,
FOietaj cu gem de visine Fornetti,258,7.9,8,37.1,1,1 buc = 25g
Foietaj cu mere Fornetti,242,7.5,6,38,0,
Foietaj cu pui si ciuperci Fornetti XXL,324,11.3,13.2,37.8,1,1 buc = 30 g
Foietaj cu telemea Fornetti,242,8.3,5.7,37.8,0,
Foietaj fagure visine si budinca Fornetti XXL,324.8,5.9,14.5,42.6,0,
Foietaj melc cu cascaval Fornetti XXL,388.1,9.3,22.4,37.4,0,
Foietaj pateu cu ciuperci Fornetti,337.4,8.5,22,28.9,1,
Foietaj strudel cu mere Fornetti XXL,352,7.9,19.5,33.9,0,
Foietaj twist cu afine Fornetti XXL,323,8.3,11.6,44.2,0,
Friptura de pui Sav'or,113,20,2,5,0,
Hamburger Burger King,275.3,14.1,12.4,28.1,1.6,1 hamburger = 121 g
Hamburger McDonalds,255,13,9,30,2,1 buc = 100 g
Inghetata cu caramel McDonalds,295,5,7,53,0,
Lasagna bolognese Edenia,161,6.8,7.1,17.6,1.1,1 cutie = 400 g
Lasagna cu somon si spanac Cora,121,5.8,5.7,11.2,1,
Lasagne Bolognese Trattoria Alfredo Lidl,172,9,9,13,1.6,1 cutie = 1000 g
McChicken McDonalds,252,0.1,11,28,1.3,1 buc = 143 g
Mici cu carne de vita si oaie Kaufland,227,17,7.9,4.5,2.2,
Mini pizza bacon Fornetti Pontino,298,13.1,11.2,34.1,0,
Mini pizza sunca si ciuperci Fornetti Pontino,296,12.8,10.7,35.2,0,
Nuggets de pui Edenia,240,20.3,9.5,18.3,0.5,1 buc = 25 g
Nuggets pui Glennfell,130,16,1,14,0.7,1 pac = 500 g
Nuggets Vitasia,179,8,8,18.6,0,
Paella Auchan,115,6.9,2.6,15.7,0.8,1 punga = 900 g
Paste Alla Bolognese Pizza Hut,77,2.2,1.3,14.1,1.6,1 portie = 200 g
Pernita cu cascaval Fornetti XXL,356.3,7.4,19.4,38.1,0,
Piept curcan umplut cu cascaval congelat Saga,259,10,22,13,0,1 buc = 125 g
Piure de cartofi KFC,110,2,4,17,1,1 portie = 100 g
Pizza congelata bagheta Bistro Dr. Oetker,231,6.1,10.5,27.9,1.4,1 buc = 125 g
Pizza congelata Grandiosa  Helmax,240,13,9.7,25,0,
Pizza cu 4 tipuri branza Real,225,10.1,10,21.1,2.5,"gda  11,33 %"
Pizza cu salam congelata Popolare Vici,276,11,9.6,36.5,0,1 pizza = 350 g
"Pizza cu sunca, salam afumat, ciuperci champignon si preparat pe baza de mozarella Lidl",201,8.9,5.2,29.6,0,
Pizza Guseppe mexicana Dr. Oetcker,223,8.9,5.9,32.3,2.6,1 buc = 500 g
Pizza Margherita San Fabio,263,9.2,9.3,34.4,0,1 bucata = 300 g
Pizza Peperoni Pizza Hut,257,12.1,11.4,25,1.4,1 buc normala = 250 g
Pizza prosciutto Dr. Oetker,222,9.8,8.6,26.2,0,1 buc = 320 g
Pizza quatro formaggi Real,225,10.1,10,21.1,2.5,1 buc = 300 g
"Pizza Ristorante, Pizza Speciale",239,9.3,10.6,26,0,1 cutie = 325 g
Pizza salami Dr.Oetker,253,9.6,11.4,28,0,
Pizza salami Toppo Lidl,200,7,6.9,26.6,0,1 cutie = 280 g
Pizza speciale Ristorante Dr. Oetker,254,9.5,10.1,31.2,2.9,1 pizza = 325 g
Pizza sunca si ciuperci Giuseppe Dr. Oetker,218,7.9,8.7,26.4,1.3,1 pizza= 425g
Pizza Supreme Pizza Hut,245,10,12,22,2,1 buc normala = 250 g
Placinta afine cu crema de vanilie McDonalds,275,3,16,30,1,
Placinta congelata rulata cu branza 365 Mega Image,274.6,7.5,10.7,36.5,1.2,1 tava = 800 g
