Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Afine,57,0.7,0.3,14.5,2.4,
Afine congelate Paulus,38,0.6,0.6,6.3,0,
Afine rosii bio congelate Ecofruct,33,1.1,0.5,6.1,3.5,
Agrise deshidratate Jasmin,657.9,15.5,60.1,13.7,6.7,
Amestec de fructe uscate royal nuts Kaufland,629,15.5,54.5,15.5,7.3,
Amestec de nuci Spar Vital,628,17,53,18,5.7,1 punga = 300 g
Amestec fructe de padure congelate K-Classic,47,1.1,0.5,6,4.7,400
Amestec fructe First Fruit,26,1.3,0.3,4.8,0.6,1 cutie = 300 g
Ananas bucati in sirop slab indulcit Fine Life,65.6,0,0,16,0.8,1 cutie = 565 g
Ananas confiat,325,2.5,2.5,75,5,
Ananas in sirop Kouki,67.7,0.4,0,16,1,1 cutie = 565 g
Apa de cocos,19,0.7,0.2,3.7,1.1,
Avocado,167,2,15.4,8.6,6.8,
Banane deshidratate,519,2.3,33.6,58.4,7.7,
Caise deshidratate Domino,213,2.3,0.3,47.3,0,
Caise deshidratate Mega Image,284,3.4,0.6,62.6,7.3,
Caise deshidratate Real,239,5,0.5,47.8,8.6,
Capsuni,32,0.9,0.3,7.7,2,
Capsuni congelate First Fruit,28,1.5,0.5,4.7,0,1 cutie = 300 g
Capsuni congelate Hortex,32,0.7,0.4,5.4,0,
Capsuni congelate Kaufland,34,0.7,0.4,6,0,
Capsuni congelati Lidl,35,0.7,0.4,5.4,0,
Catalup deshidratat Sanovita,343,0,0,86,3.2,
Cherimoya,75,1.6,0.7,17.7,3,1 buc = 230 g
Cirese,63,1.1,0.2,16,2.1,1 cana cirese = 120 g
Cirese congelate Hortex,49,0.9,0.4,9.9,0,
Coacaze negre,57,0.7,0.3,14.5,2.4,
Coacaze negre deshidratate Orchid,326,2,0.5,75,9,1 punga = 100 g
Coacaze rosii,34,0.6,0,7,2,
Coacaze rosii uscate Flores Farm,308,0.1,1.4,82.4,5.7,
Coarne de padure,76,0.7,0.4,16.9,0,
Cocltail fructe deshidratate Orlando's,267,3.4,0.7,85,0,
Compot ananas fara zahar Maxim's ,52,0.3,0.9,12.7,0.8,
Compot ananas rondele Maxim's,68.3,0.2,0.5,15.8,0.4,
Compot caise intregi in sirop slab indulcit 365,63,1,0,16,2,1 borcan = 310 g
Compot de ananas Carrefour,71,0.3,0.4,16.5,0,
Compot de ananas Cora,50,0,0,12,1,
Compot de mere,85,0.3,0,20.2,2,
Compot de piersici 365,61,0.3,0,15,0,1 borcan = 365 g
Compot de prune cu zahar,92,0.4,0,21.9,1,
Compot de visine Raureni,83.8,0.5,0,20.9,0.9,
Compot mandarine Cody,61,0,0,16,0,1 cutie = 312 g
Compot tropical ananas gold premium fara zahar Dole,65,0.4,0.1,15,1,567
Conserva ananas bucati in sirop slab indulcit Nota 11,64,0.3,0.1,15.4,0,1 cutie = 567 g
Conserva cocktail din 5 fructe Vitae D'Oro,68,0.6,0,15.9,0.4,1 cutie = 250 g fructe fara sirop
Corcoduse,27,0.2,0,6.4,1,
Curmale deshidratate Domino,281,1.7,0.1,64.2,0,
Curmale deshidratate fara samburi Carrefour,307,1.3,0.6,74,8,
Curmale deshidratate Oblio,314,2.5,0.4,75,8,
Curmale Extra Rabbi,317,2,0.6,75.8,8.2,1 pachet = 250 g
Curmale fara samburi SanoVita,202,3.3,0.2,68,0,1 cutie = 250 g
Curmale San Diego,306,2.2,0.2,73,0,10 g buc =  7 g fara sambure
Curmale uscate confiate,286,2.4,0,73.8,7.1,
Dude (Agude) proaspete,43,1.4,0.4,9.8,1.7,
