Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Arahide Nutline,645,24.4,55.7,11.5,0,
Crema de arahide ecologica Rinatura,690,23,49,18,7,1 borcan = 250 g
Crema unt natur Sole,360,2.5,38,2,0,1 buc = 200 g
Cremino cu unt 60% grasime Lacto Food,541,0.2,60,0,0,1 buc = 200 g
Lapte de cocos bio Rinatura,165,1.5,17,1.5,0,1 cutie = 400 g
Lapte de cocos Shan'shi,212,2.1,20.4,5.2,0,1 cutie = 165 ml
Maioneza Ajonesa Chovi,713.2,1.1,78.3,1,0,
Maioneza bio Irma,830,17,91,0.5,0,
Maioneza Knorr,726,0.9,78.5,3.9,0,1 borcan = 250 g
"Maioneza light  28,7%  Gova",299,0.4,28.7,10.1,0,
Maioneza light Knorr,404,0.6,42.1,5.7,0,
Maioneza Mayo ulei masline Mega Image,728,1.3,80.2,0.2,0.1,1 lingurita = 15 g
Margarina,737,0.3,79,0.2,0,
Margarina Becel,360,0,40,0,0,1 cutie = 250 g
Margarina Becel original,410,0.5,45,0.5,0.5,1 cutie = 250 g
Margarina cu smantana Delma,433,0.1,48,0.2,0,1 cutie = 500 g
Margarina cu unt Rama,627,0.5,70,0.6,0,1 cutie = 225 g
Margarina Delecta Wiesana,225,0,25,0,0,
Margarina Delma Sandvis,180,0,20,0,0,
Margarina Ligera Alipende,320,0,35,0.8,0.1,
Margarina light Becel,270,0.5,30,0.5,0.5,1 cutie = 400 g
Margarina light Lando,225,0,25,0,0,
Margarina original pentru prajituri Unirea,540,0,60,0,0,
Margarina Rama Aero,360,0.5,39,1.5,0,1 cutie = 320 g
Margarina Rama Classic,540,0.2,60,0.3,0,
Margarina Rama Yogurta Plus,450,0.2,48,3,0,
Margarina Wiesana Zi de zi,360,0,40,0,0,
Migdale crude Poex,578,21,51,20,12,1 pachet =200 g
Slanina afumata Cris-Tim,750,2,82.4,0.1,0,
Slanina cu boia Casa Gustului,805,1.6,85,1.5,0,
Smantana vegetala de cocos pentru gatit Coconut Cuisine Alpro,100,1,9,2,0,1 cutie = 200 ml
Ulei amestec Costa D'Oro,824,0,92,0,0,
Ulei Clever,828,0,92,0,0,
Ulei Cocos 100% organic Tiana,900,0,94,0,0,
Ulei de arahide Carrefour,900,0,100,0,0,1 sticla = 750 ml
Ulei de canepa Herbal San,820,0,92,0,0,
Ulei de cocos bio Kokomus ,731,6,71,12,7.4,1 cutie = 250 g
Ulei de cocos Coconpure,900,0,100,0,0,1 cutie = 460 ml
Ulei de cocos ecologic Pronat,900,0,99.9,0,0,1 borcan = 500 ml
Ulei de cocos ecologic Sunlit,819,0,91,0,0,
Ulei de cocos pentru prajit Naturia,859,0,99,0,0,1 cutie = 990 ml
Ulei de cocos Rapunzel,900,0,100,0,0,1 borcan = 200 g
Ulei de cocos Sunlit,894,0,99.8,0,0,1 borcan = 160 g
Ulei de cocos virgin organic Marina,900,0,100,0,0,
Ulei de floarea soarelui Girasol Alipende,900,0,100,0,0,
Ulei de floarea soarelui Promienna,827,0,91.9,0,0,
Ulei de macadamia HerbalSana,857,0,100,0,0,1 sticluta = 50 ml
Ulei de masline Amato,824,0,91.6,0,0,1 sticla = 1000 ml
Ulei de masline Cantinelle,822,0,91.3,0,0,
Ulei de masline Carrefour,828,0,92,0,0,1 sticla = 1l
Ulei de masline Delicato Lidl,822,0,91.3,0,0,
Ulei de masline extra virgin Campo Dorato,822,0,91.6,0,0,
Ulei de masline extra virgin Costa de Espana,824,0,91.6,0,0,
