Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
 Smantana de casa 25% Angst,244,1.2,25,3.6,0,
Ayran,51.6,2.9,2.8,2,0,
"Ayran 2,2% Meggle",34.2,1.5,2.2,2.1,0,
Ayran Sarikiz,18.5,1.5,0.5,2,0,1 buc = 330 ml
Bautura din orez Alpro,61,0.2,1.2,12.2,0,
Branza  maturata Valley Spire Lidl,416,25.4,0,0.1,0,
Branza 10% Cottage natur Spar,85,12.7,2.2,3,0.1,1 cutie = 200 g
Branza Burgo De Arias,186,11.3,14.2,3.2,0,1 cutie =75 g
Branza cremoasa cu smantana Kiri,301,8.5,28.5,2.5,0,6 portii = 100 g
Branza cremoasa degresata Artesana,79,15.8,0.9,2.1,0,1 borcan = 200 g
Branza de capra President,315,18,27,0,0,
Branza de vaci 6% Covalact,118,13,6,3,0,1 cutie = 200 g
"Branza Fagaras 2,2% Lacteea Slim",78,9.6,2.2,3.8,0,1 cutie = 180 g
Branza feta Yalos,258,16.5,21,0.7,0,
Branza mascarpone Sainsbury's,412,3.6,42,4.9,0,
Branza mozzarella Campana Metro,278,17,23,0.5,0,1 punga = 250 g
"Branza proaspata 4,4% Delaco",100,10.8,4.4,3.6,0,1 cutie = 250 g
Branza proaspata de vaci cu gust de vanilie si cu stafide Pilos,153,8,5,19,0,1 cutie = 300 g
"Branza proaspata slaba 4,4% de vaca Clever",97,10.8,4.4,3.6,0,1 buc = 250 g
Branza ricotta 9% Sterilgarda,134,10,9,3.2,0,
Branza topita Armonie JLC,196,20,12,2,0,1 pahar = 100 g
Branza topita cu smantana Fine Food,277,8,25,5.8,0,
Branza vaca dietetica Proxi,70,14,0,3.5,0,
Branzica dulce 4% Mic-vis JLC,172,17.6,4,16.4,0,1 pachet = 100 g
Budinca din lapte Milli Mia,113,3,19,2.7,0,1 pahar = 125 g
"Cas din lapte de vaca, afumat Camara Noastra",280,23,20,2,0,1 buc = 300 g
Cascaval afumat Bradet Gordon,316,26.5,22,0.6,0,1 bucata = 480 g
Cascaval capra Alpenmark,373,22.8,31.3,0.1,0,
Cascaval Dalia Solomonescu,300,20,21,7,0,1 pachet = 400 g
Cascaval Galereux,327,26.5,25.5,0,0,1 buc = 750 g
Cascaval Hochland Light,236,18,18,0.5,0,1 cutie = 250 g 
Cascaval maturat 60 zile Muller,320,24,24,2,0,1 cutie = 250 g
Cascaval Neaos mic Delaco,322,22,24.5,1,0,1 rotita = 160 g
Cascaval Rucar Delaco,327,24,25.5,0.3,0,
Chefir 0% Lactonia,27.2,3,0,3.8,0,1 cutie =1 litru
Chefir 3.5% Covalact de tara,60,3.2,3.3,4.4,0,
Chefir degresat 0% JLC,32,3,0,5,0,
Cottage cheese Prodlacta,97,13,4,2.2,0,175
Crema branza creme fraiche de Normandie Vrai,363,2.1,38,3.1,0,1 borcan = 200 g
Crema de branza cu verdeata Delaco,134,7.4,9.5,4.7,0,1 cutie = 150 g
Crema de iaurt,80,3.4,5,4.6,0,1 cutie = 175 g
Crema de iaurt 5% Brenac,90.2,6.4,5,4.9,0,
Crema de iaurt cu cafea Muller,116,4.4,4,14.8,0,1 pahar = 150 g
Crema de iaurt cu fructe Muller,111,3,3.6,16,0,
Crema de lapte,327,8.5,7,55.5,0,
Crema iaurt Milli,83,3.1,6,4.1,0,1 cutie = 200 g
Creme de branza fraiche Spar,308,2.3,32,2.3,0.2,
Desert iaurt cu caise Paula Dr. Oetker,107,2.9,3.6,15.4,0.3,
Frisca batuta,302,2.6,30,3,0,
Frisca indulcita,297,2.3,26,11,0,
Frisca lichida 32% Alnatura,310,2.3,32,3.2,0,
Frisca lichida light 18% Alipende,186,2.5,18,3.5,0,
Frisca pe baza de lapte degresat Spray Creme Lidl,240,3.1,20,12,0,1 lingura rasa = 10 g
Frisca pentru gatit Gran Cucina,251,3.1,23,8,0,
Frisca vegetala fara zahar Hulala,216,0.7,23,1.8,0,
Iaur cu kiwi bifidus Alipende,55,4.2,0.1,9.2,0.2,1 buc = 125 g
"Iaurt  0,1% cu cirese Linessa Lidl",79,3.9,0.1,13,0,1 pahar = 150 g
"Iaurt  2,8% Covalact",55,3.4,2.8,4,0,
