Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
 Legume congelate si condimente China D'aucy,31,1.6,0.3,4,4,1 punga = 400 g
 Salata Fitness Mix 365,24.9,1.8,0,4.4,1.5,1 punga = 280 g
Amestec chinezesc Chira Lidl,28,1.5,0.5,3.4,3,
Amestec de legume congelate cu orez Hortex,66,2.4,0.3,13.3,0,
Amestec de legume congelate Mexican Style Green Grocer's,87,2.1,5.3,6.4,0,1 punga = 750 g
Amestec de legume cu unt Green Gold Plus,103,2.9,6.1,9,0,1 cutie = 300 g
Amestec de legume de gradina Iglo,54,2.8,0.5,8.1,2.6,1 punga = 450 g
Amestec de legume Italian style Green Grocer's,45,2.1,2.3,3.3,0,1 punga = 750 g
Amestec de legume macedonean Delhaize,30,2.1,0.3,4.4,3.9,1 buc = 265
Amestec de legume mexican Hortex,56,3.6,0.4,7.5,2,
Amestec de legume pentru bors romanesc Casa Taraneasca,20,1.3,0.2,3.4,0,
Amestec de legume pentru ciorba vita Casa Taraneasca,51,2.5,0.1,10.7,0,1 punga =400 g
Amestec de legume pentrut ciorba Emborg,20,1.6,0.1,3.2,0,
Amestec de legume salata boeuf Casa Taraneasca,61.2,2.2,0.1,12.1,0,1 punga = 400 g
Amestec de legume Wok Chinese Findus,40,0.9,0.4,3.5,3,1 punga = 325 g
Amestec de vara Dujardin,31,2.3,0.2,5,3.5,
Amestec leguma de toamna Autumn Soup Icefield ,34,2.5,3.7,0.3,0,
Amestec legume congelate Vip Hortex,33,1.9,0.4,5.4,0.8,
Amestec legume Country Vita Star,99,1.7,4.8,12.3,0,
Amestec legume de gradina Carrefour,55,3,0,11.2,5,1 punga = 400 g
Amestec legume de primavara Hortex,30,2.8,0.3,4,0.8,400 g
Amestec legume Hawaii Edenia,104,3.9,0.5,19.6,3.3,1 punga = 450 g
Amestec legume mexicane Globus,73,3.4,1.5,9.4,3.9,
Amestec legume pentru ghiveci LegoFruct,34.1,1.6,0.3,5.9,0,
Amestec legume pentru wok Delhaize,33,2.4,0.2,4.1,2.7,
