Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Babic Aldis,472,22,40,2,0,
Bacon afumat Cris-Tim,346.1,18.1,30.2,0.5,0,
Bacon afumat Delfin,266,18.6,20.7,1.3,0,1 felie = 25 g
Bacon Aldi R,375,14,35,1,0,1 cutie = 200 g
Bacon Alipende,318,15.6,28,1,0,1 felie = 20 g
Bacon Carrefour,448,22,40,0.1,0,
Bacon feliat Best Farm,163,17.8,9.7,0,0,1 felie = 22 g
Bacon Gourmet,350,18,32,0.5,0,
Bacon Meda,268,15.4,22.5,1,0,
Bacon Unicarm,217.8,16.8,15.8,0.5,0,
Baton din carne de pui si curcan Wudy Pop Aia,185,14,14,2,0,
Cabanos Edeka,339,16,30,0.7,0,
Cabanosi porc si vita Pikok,549,24,48,5.3,0,1 pachet = 120 g
Caltabos alb,258,18.2,19.7,0,0,
Caltabos Poiana Marului Sergiana,178,14,9,9,0,
Carnaciori de bere picant Baroni Lidl,243,16,19,0,0,1 caserola = 400 g
Carnaciori picanti Cris-Tim,272.6,16.5,22.3,1.4,0,
Carnat Chorizo Fort,426,24,36,1.4,0,1 buc = 225 g
Carnat pui Hanegal,206,16,14,4,0,
Carnati afumati,301,15.5,25.4,0.3,0,1 buc 10 cm = 50 g
Carnati albi pentru gratar Bratwurst Lidl,277,14.1,24,1,0.3,
Carnati ardelenesti Pure Meat,142,18.3,7.7,0,0,
Carnati boeresti Cris-Tim,237.7,16.8,18,2.1,0,
Carnati cabanos Alpinia,350.7,18.1,30.4,1.2,0,
Carnati cabanos Caroli,340,17,30,0.5,0,
Carnati cabanos Cris-Tim,392.2,16.9,35.7,0.9,0,
Carnati Cabanos Maestro,352,15,32,1,0,
Carnati Crenguta Unicarm,171.3,12,12.2,2.1,0,
Carnati crud uscati Cris-Tim,447.4,31.3,34.6,2.6,0,
Carnati cu sunca Maestro,330,14,30,1,0,
Carnati de casa,321,18,26.9,0,0,
Carnati de casa cu cascaval Cris-Tim,205.6,18.5,14.1,1.1,0,
Carnati de Plescoi uscati si afumati Gusturi Romanesti,369,25,30,1.8,1.8,
Carnati Frankfurter Dulano,312,13,28,2,0,1 bucata = 35 g
Carnati mini sticks Mega Image,496,34.4,39,1,1.5,1 buc = 10 g
Carnati Mulviertler Kranzl,300,15,27,0.7,0,1 buc = 170 g
Carnati oltenesti Cris-Tim,310.9,15.3,27.4,0.8,0,
Carnati oltenesti Lindenhof,321,11,29,3,0,1 buc = 63 g
Carnati picanti Baton Snackwurst Pikante,439,26.5,34,1,0,1 baton = 18 g
Carnati Plaiul Foii Sergiana,244,32.8,8.7,8.5,1.9,1 buc = 60 g
Carnati polonezi porc Meda,266.2,12.4,23.8,0.6,0,
Carnati porc de casa,203.4,24.4,10.7,1,0,
Carnati Rustic Cris-TIm,412.6,19.2,37.1,0.5,0,
Carnati semiafumati Cris-Tim,379.6,14.4,34.2,3.6,0,
Carnati Semiafumati Meda,316.7,12.7,28.7,1.9,0,1 pachet = 250 g
Carnati sticks Agricola,519,18,47,6,0,1 cutie = 200 g
Carnati trandafir,281,16.3,22.9,0.3,0,
Carnati uscati Mini sticks Mega Image,558,27.8,48,3.7,0.1,
Carne de curcan afumata Royal Turkey,173,26,7,1,1.2,1 pachet = 80 g
Ceafa afumata Angst,148,15,9.3,1.1,0,
Ceafa afumata Clever,163,16,10,1,0,
Ceafa afumata crud uscata Auchan,308,29.9,19.5,2,0,1 punga = 80 g
Ceafa afumata vid Koket,247.9,20.3,18.3,0.5,0,
Ceafa crud-uscata Sergiana Poiana Marului,216,19,15.6,6.2,0.8,
Ceafa de porc afumata Aldis,209.5,14,16,0,0,
Ceafa de porc crud-uscata Fine Life,254,22,18,1,0,1 cutie = 80 g
Ceafa de porc feliata Masa Boiereasca,195,16,14,1.2,0,
Chiftelute Ikea Kötbullar,235,14,20,7,0,1 chifteluta = 14 g
Conserva carne de vita Carnis Vascar,100,10.3,8.2,6.6,0,
Conserva din carne de pui Lupack,201,10,13,11,0,1 conserva = 200 g
Costita afumata Cris-Tim,290,15.4,24.6,1.3,0.1,
Costita extra afumata Fox,148,17.9,7.6,1.2,1.2,
Costita porc afumata extra caroli,268,19,21.5,1.4,0,
Cotlet haiducesc Aldis,224,19,16,1,0,1 buc = 150 g
Cremwusti porc Edeka,281,13,25,1,0,
Crenvrusti de porc Meda,273.3,12.6,24.5,0.6,0,1 buc = 50 g
Crenvursti,238,12.5,20,0.2,0,1 buc =  50 g
Crenvursti cu pui Cris-Tim,231.2,9.5,20.6,1.9,0,
Crenvursti curcan Alipende,263,13,23,1,0,1 buc = 40 g
Crenvursti de porc Fox,264,12.1,22.7,1.8,2,1 buc = 58 g
Crenvursti de pui extra Aldis,275,11,24,2,0,1 buc = 40 g
Crenvursti din piept de pui Baroni,254,12,22,0,0,
Crenvursti Herta,284,12,25,2,1.4,
Crenvursti maestro Caroli,240,13,20,2,0,
Crenvursti piept de pui Galina Cris-Tim,265.8,13.6,22.2,3,0,
Crenvursti piept pui Meda,267,11.9,23.5,0.5,0.5,1 buc = 57 g
Crenvursti polonezi Caroli,280,12,26,2,0,
Crenvursti porc,330,11.2,29.6,4.1,0,
Crenvursti porc Caroli,231,14,19,1,0,
Crenvursti pui Alpinia,281.8,11,25.2,2.8,0,
Crenvursti pui Forzoso,204.7,13.6,13.9,6.8,0,
Crenvursti speciali cu piept de pui Cris-Tim,231.2,10.2,20.6,1.2,0,
Crenvurstii piept pui Carniprod,250,12,22,1,0,
Crenvusti de pui Amadori,188,11,13.5,5.3,0,
Crenvusti de pui si curcan Wudy,260,14,22,1.4,0,1 pachet = 250 g
Crenvusti din piept de pui Aldis,275,11,24,2,0,
Crenvusti piept de pui Horeca,225.4,14.2,17.3,3.2,0,
Crenwursti cu pui Banat Bun,286,10,26,2.9,0,1 buc = 43 g
Cubulete bacon Dulano,300,18,25,1,0,1 cutie = 125 g
Felii salam danez Sporul Casei Reinert,519,16,50,1,0.5,
File de vita afumat Filet d`Anvers,104,22.9,0.9,0.9,0,1 pachet = 80 g
Gusa afumata Auchan,314,11,30,0,0,
Jambon afumat Cobourg Delfin,142,25.8,3.9,0.9,0,1 felie = 25 g
Jambon artisanal natur Delifin ,116,21,3.1,1,0.5,1 pachet = 150 g
Jambon copt Mega Image,115,21.1,3.1,0.7,0.1,1 pachet = 150 g
