Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Albus de ou,52,10.9,0.2,0.7,0,1 buc mare= 30 g
Albus de ou uscat,320,73.4,0.3,4,0,
Galbenus de ou,322,16,27,3.6,0,1 galbenus = 20 g
Ou de gaina,155,13,11,1.1,0,1 buc = 55 g
Ou de gasca,185,13.9,13.3,1.4,0,
Ou de rata,185,12.8,13.8,1.5,0,1 buc = 70 g
Ou gaina fiert,155,12.6,10.6,1.1,0,1 buc  = 40 g
Oua de gaina ecologice Mega Image,128,12,8.8,0.3,0,1 ou = 58 g
Oua ecologice Kaufland,128,12,8.8,0.3,0,1 ou = 60 g
Ouaecologice DLL Mega image,153,12.3,11,1.3,0.4,1n ou = 58 g
Albus de ou fiert,52,10.9,0.2,0.7,0,1 albus mare = 25 g
Albus prajit,52,10.9,0.2,0.7,0,
Ou curca,171,13.7,11.9,1.2,0,79 g bucata
Ou de gaina prajit,196,13.6,15.3,0.9,0,
Ou de prepelita,158,13,11,0,0,1 buc = 10 g
Ou gaina Avivest,171,14,12,0.6,0,1 ou = 60 g
Oua de broasca testoasa,150,15,10,0,13,1 ou = 50 g
Oua de gaina Le Naturelle,128,12.4,8.7,0,0,1 ou L = 63-73 g
Oua proaspete Agricola,151,12.5,11.2,0,0,1 ou M = 53-63 g
Praf de ou,578,44.7,40.1,5.2,0,
