Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Aluat integral pizza Bauck Hof,345,9.8,1.1,73.9,0,1 cutie = 350 g
Bagheta flute Paul,299,10.3,0.7,61,4,1 baghtea = 200 g
Bagheta usturoi Kaufland,318,8.1,11.2,44.8,0,1 bagheta = 175 g
Biscuiti cu ulei de masline Gran Pavesi,448,7.5,16.5,67.4,0,
Biscuiti vegetali Naturalia,466,39,15,37,5,1 cutie = 110 g
Chifla cu susan Mega Image ,273,9.4,1.6,54.7,0.8,1 buc = 60 g
Chifla hamburger Castello,277,10,4,48,4,
Chifla hamburger Lacestera,303,9.8,4.6,53.9,3.6,
Chifla mega burger sesame Quick Bury,286,8.5,5.5,49,3,1 chifla = 75 g
Chifla negra Irma,220,7.1,1.4,45.2,6.2,
Chifla specialitate catalana Edenia,266,8.6,2,52,0,1 chifla = 80 g
Chifle multicereale Delipain,263,9.1,3.1,46.2,7,1 chifla = 65 g
Covrig bavarez Kaufland,225,6.8,1.8,45,0,1 covrig = 80 g
Covrig cu seminte Kaufland,190,5,4,33,0,
Covrigei cu mac & sare Lidl,446,11.8,7.5,69.5,0,
Covrigi grau intreg Velpitar,366,16.2,4.3,61.5,8.3,230
Croissant simplu Carrefour,180,3,9,22,0,1 buc =  45 g
Cub de seminte de in si susan Edenia,283,11,4.5,45.9,0,1 chifla = 60 g
Felii de paine pentru bruschete Bruschetta Ital d'Oro,252,8.1,3,48.3,3.5,1 felie = 100 g
Felii din cereale hrisca Pirifan,346,8.2,1.5,75,6.5,1 pachet = 70g
Felii paine crocanta Burger Urtyp,353,10,1.7,66.8,15,1 felie = 9.3 g
Felii pesmet Brandt,401,11,6,74,3.3,"1 felie = 9,4 g"
Franzela alba Belgusto,214,7.6,1.2,43.2,0,1 felie = 19 grame
Franzela alba Pambac,228,7.7,1,46.4,1.4,
Franzela extra feliata Titan,214,7.6,1.2,43.2,0,1 paine = 300 g
Franzela graham Painea Brutarului Lidl,258,10,2.5,46.2,5.2,1 paine = 400 g
Lipie 365,291,14,0,59,1,1 buc = 50 g
Lipie libaneza graham Lidl,272,10.7,0.6,53.7,4.7,1 pachet = 600 g
Lipie libaneza Painea Brutarului Lidl,306,11.7,3.1,57.4,0.9,
Lipie tortilla Roberto,285,8.3,3.7,53,0,1 buc = 42 g
Mini blat de pizza fara gluten Bauck Hof,344,4.1,1,78.6,0,1 cutie = 350 g
Pachetele din tortilla din grau El Tequito,332,9.3,8,54.2,3,1 pachet = 370 g 
Paine alba,266,7.6,3.3,50.6,2.4,1 felie = 25 g
Paine alba cu seminte de salvie Dobrogea,219,8.2,1.5,41.9,2.4,1 felie = 25 g
Paine alba feliata Deplina Velpitar,214,13.5,0.5,39,3.3,
Paine alba feliata Neptun Dobrogea,225,7.8,0.7,45.2,0,
Paine alba French Toast,237,8,1,49,0,1 felie = 25 g
Paine aparat Moulinex,214.7,6.1,0.8,45.7,0,
Paine bogata in proteine Mestemacher,264,22,13.1,7.5,14.2,1 felie = 50 g
Paine burger Delikatesse,341,8.6,1.6,65,16,
Paine cereale si seminte Trans Agape,206.4,7.8,1.6,40,3.3,
Paine Ciabatta Carrefour,232,16.5,3.1,40,1.5,1 chifla = 86 g
Paine crocanta Alnatura,358,10,5.4,59.4,15.7,
Paine crocanta cu chimen Finn Crisp,360,11,2.4,60,19,1 cutie = 200 g
Paine crocanta cu faina de secara Finn Crisp Original,350,11,2.7,59,17,1 felie = 13 g
Paine crocanta cu seminte de dovleac Wasa,392,12,9,60.7,10,1 buc = 26.5 g
Paine crocanta Danvita,432,12.6,14.2,58.4,10.1,1 felie = 7 g
Paine crocanta de grau graham Chaber,353,10,1.8,67.1,14.2,1 buc = 7.14 g
Paine crocanta de secara Clever,312,11,1.7,63.2,15.8,1 felie = 9 g
Paine crocanta de secara Sodergarden Skan Crisp Finnish Thin Crispbreads Lidl,350,11,2.3,59,20,1 felie = 8 g
Paine crocanta de secara Wasa Delikatess,310,10,1.4,64,16,1 buc = 11 g
Paine crocanta de secara Wasa Original,340,9,1.5,67,14,1 buc = 11 g
Paine crocanta din grau integral Auchan,373,11,4,73.2,6.5,1 felie = 5 g
Paine crocanta din secara integrala cu susan Vollkorn Knacke,278,13.6,6.7,40.7,21,1 felie  = 7 g
Paine crocanta din secara integrala Vollkorn Knacke ,255,13.2,3.1,43.6,21,1 felie= 7 g
Paine crocanta integrala Burger Ballastoff,341,10.5,4.5,54.2,21,
Paine crocanta Leksands Knackebrod Ikea,250,4.7,9.7,37.9,5,1 buc = 13 g
Paine crocanta prajita Delhaize,391,13.6,0.3,13.6,1.3,
Paine crocanta Wasa koestlich,332,13.5,5.5,42.5,29,1 felie = 10g
Paine cu cartofi Pan Pro,260,7.1,0.6,55,0,1 paine = 500 g
Paine cu faina dietetica de grau din macinis integral Cora,231,8,1.2,42.5,9,
Paine cu faina integrala si seminte Carrefour,257,14.5,5,38.5,6,1 punga = 500 g
Paine cu faina integrala toast Vel Pitar,253,9.2,3.1,50.6,7.1,1 felie = 24 g
Paine cu faina neagra feliata Panemar,218,8.4,1.4,51.8,0,1 paine = 800 g
Paine cu fibre Arcada,215,6,0.6,45,42.4,
Paine cu germeni de grau Hovis,224,10,2.2,38.6,5.3,
Paine cu prune Franzeluta,192.8,7.1,1.2,40.8,0,1 felie = 45 g
Paine cu secara Bonina Nistru,225.3,7.6,1.3,45.8,6.1,
Paine cu secara feliata Rotunda Romaneasca,242,8.5,1.2,47.4,3.8,1 felie = 45 g
Paine cu secara la forma Dobrogea,252,9,1.8,46,7.4,1 paine = 500 g
Paine cu secara toast KB,254,8.5,4,46,5.5,1 felie = 25 g
Paine cu secara Vita Silhouette,215,6.1,2,33.8,15.6,
Paine cu seminte de in Alnatura,172,5.4,3.4,35.4,9.3,
Paine cu seminte de in Vita Star,183,5,1,35,9,1 felie = 55
Paine cu tarate Vel Pitar,215,16.3,0.5,36.4,0,1 felie = 20 g
