Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Anchoa in ulei vegetal Lindamar,209.2,25,12,0.3,0,1 conserva = 30 g
Bagheta peste Auchan,107.7,20,3,0.1,0,1 punga = 200 g
Batoane de calamar congelate Royal Greenland,172,12,7.5,14,0,1 buc = 25 g
Batoane de peste congelat Mexican Frosta,204,11.9,10.6,15.8,0,1 bucata = 25 g
Batoane de peste congelat Winny,230,8.5,8,31,0,
Batoane de peste pane Golden Seafood,178,14,7.8,12.4,1.1,1 cutie = 450 g
Batoane de peste Rewe Iglo,201,12.9,8,19,0.9,1 baton = 60 g
Batoane peste Fish Fingers Tiko,252,9.1,9.9,30.2,0,1 cutie = 250 g
Batog din novac afumat Cora,122,17,5,0,0,1 buc = 150 g
Biban de mare crud,97,18.4,2,0,0,
Calamar,92,15.6,1.4,3.1,0,
Calamar fingers Tiko,216,13.7,10.4,16.5,0,
Calamar in sos marin Bon Appetit,265,15.2,21.3,3.2,0,1 cutie = 120 g
Calcan,91,16,3,0,0,
Caracatita,82,14.9,1,2.2,0,
Caracatita in ulei de floarea soarelui Sol&Mar,154,25,6,0,0,1 cutie = 85 g
Caras gatit,102,20.7,2.1,0,0,
Caviar,274,26,16,4.6,0,
Chiftele peste Lidl,135,10.1,0.9,21,0,4 buc = 250 g
Cocktail fructe de mare Cora,451,7.3,41.1,5,0,1 punga = 500 g
Cocktail fructe de mare Royal Greenland,56,12.6,0.4,1.2,0,1 cutie = 200 g
Coctail fructe de mare Vassiliou Trofinko Plus,122,20.5,2.4,14,0,1 punga = 400 g
Cod Alaska Alfredo Foods,81,17,1,0,0,1 punga = 350 g
Cod Grenadier,79,19,0.3,0,0,
Conserva  file sardina in ulei picant Auchan,218,23,14,0,0.4,100 g
Conserva babusca in sos tomat,112,11.1,5.6,3.4,0,
Conserva caracatita in ulei vegetal Don Fernando,198,22.5,9,5.8,0,1 conserva = 111 g
Conserva creveti in saramura John West,97,21,1,1,0,1 cutie = 200 g
Conserva de file sardina in sos tomate Auchan,160,17,9.5,1,0.4,100g
Conserva de hering afumat in ulei din Estonia,271,16,23,0,0,1 cutie =160 g
Conserva de hering in ulei Omi,335.4,13.2,31.4,0,0,1 cutie = 170g
Conserva de macrou file John West,231,13.9,18.3,2.6,0,
Conserva de macrou in ulei de Baltica,277,13,25,0,0,1 conserva = 240 g
Conserva de sardine cu ardei iuti Brunswick,206.5,21.7,13,0,0,1 cutie = 92 g
Conserva de sardine in sos de tomate Dia,239,17.7,18,1.2,0,
Conserva de sardine in sos tomat Tesco,163.3,17,9.9,1.4,0,1 conserva = 120g
Conserva de sardine in suc propriu Delhaize,191,23,11,0,0,1 conserva = 125 g
Conserva de sardine in ulei de floarea soarelui cu lamaie John West,218,23,14,0,0,
Conserva de sardine in ulei de masline Rex,200,23,12,0,0,1 conserva = 90 g
Conserva de sardine in ulei Tesco,220,23.3,14.1,0,0,1 conserva = 120 g
Conserva de sardine in ulei vegetal King Oscar,206,15.2,16.1,0,0.7,1 cutie = 110 g
Conserva de sardine Princess,210,22,13.6,0,0,
Conserva de ton bucati in suc propriu 365,101,25,0.1,0,0,
Conserva de ton bucati in suc propriu Maxim,104,23,0,1.3,0,
Conserva de ton bucati in ulei Yachtis,183,27.4,6.2,3.6,0.6,1 cutie = 185 g
Conserva de ton file Princess,167,25,7.4,0,0,
Conserva de ton in apa Al Alali,107,23,0,0,0,
Conserva de ton in apa Via Mare,107,22.7,1.3,0,0,1 conserva = 160 g
Conserva de ton in sos tomat Calvo,242,12.6,19.8,3.1,0.3,1 cutie = 80 g
Conserva de ton in suc propriu Carrefour,90,18,2,0,0,1 cutie = 120 g net
Conserva de ton in ulei 365,166,19,10,0.1,0,1 cutie = 155 g
Conserva de ton in ulei Auchan,280,23,20.9,0.1,0,
Conserva de ton in ulei Carrefour,182,23,10,0,0,"1 cutie = 170 g, din care 120 g peste"
Conserva de ton in ulei de masline Palmera,225,22.5,15,0,0,
Conserva de ton John West cu rosii si verdeata,99,7.3,6.1,3.7,0,1 conserva = 192 grame
Conserva de ton maruntit in suc propriu Clever,67,14.2,1.1,0.3,0,1 cutie = 185 g 
Conserva de ton maruntit in ulei Siblou,200,18,14,0,0,1 cutie = 120 g net
Conserva de ton suc in propriu si ulei soia Finelife,177,20.3,10.4,0.4,0,1 cutie =130 g
Conserva ficat de cod Sun&Sea,401,9.3,39.6,1.8,0,
Conserva file crap in ulei picant Dinadi,223,13,19,0,0,
Conserva file de hering in sos tomat Carrefour,150,11.3,8.2,7.8,0,1 buc = 170 g
Conserva file de macrou in sos mustar Auchan,215,13.8,17.8,0,0,1 conserva = 169 g
Conserva file de macrou in suc propriu Delhaize,155,24.2,6.5,0,0,1 conserva = 125 g
Conserva file de ton in suc propriu Saupiquet,109,25.4,0.9,0,0,1 conserva = 81 g
Conserva file hering cu sos de mustar Real,188,13.3,13.2,4,0,
Conserva file hering in ulei Merve,314,14.6,28.3,0.1,0,
Conserva file macrou 9 Condimente Delhaize,135,17.8,5.4,4.4,0,1 conserva = 176 g
Conserva file macrou in sos rosii Neptun,126,14,6.8,2.3,0,1 buc masa neta = 85 g
Conserva file macrou in ulei de masline 365,217,23.7,13.6,0,0.1,1 cutie neta scursa = 85 g
Conserva file macrou in ulei Merve,327,16.1,29.2,0.1,0,
Conserva file somon suc propriu Auchan,214,20.7,14.5,0.1,0,1 cutie = 81 g
Conserva hering file in sos Mexico Vitae D'Oro,192,12,14,4.2,0,1 conserva = 200 g
Conserva hering file in sos tomat Graal,142,10.3,8.8,0,0,1 cutie = 170 g
Conserva hering file in ulei Losos,316,14.7,28.5,0.2,0,
Conserva hering in sos tomat Gran Mare,125,12.4,6.4,4.5,0,1cutie = 170 g
Conserva hering in sos tomat King Oscar,117,12,6,3.8,0.6,1 cutie = 170 g
Conserva hering in ulei condimentat Omi Koral,392.1,12.3,38.1,0,0,
Conserva hering in ulei Gran Mare,349,12.5,32.8,1,0,1 cutie = 170 g
Conserva hering in ulei Neptun,287,13.7,25.8,0,0,
"Conserva Hering, in ulei",382,15.9,33.8,0.7,0,
Conserva Insalatissime Ton Rio Mare,200,10,13,9.5,1,1 conserva = 160 g
Conserva macrou file in sos tomat King Oscar,104,13.4,3.8,3.6,0,1 conserva = 85 g
Conserva macrou file in ulei King Oscar,303,15,27,0,0,
Conserva macrou in sos tomat Fisherking,158,8,11,7,0,1 cutie = 170 g
Conserva sardina in ulei vegetal Mares,181,21,4,0,0,1 cutie = 81 g
Conserva sardine chili Vitae D'Oro,115,13,7,0,0,1 conserva = 125 g
Conserva sardine cu ulei natural Timona,101,21,1.7,0,1,1 conserva = 215 g
Conserva sardine Goody's,83,13,3.5,0,0,1 cutie = 200g
Conserva sardine in sos de rosii Calvo,204,23,12,1,0,1 conserva = 115 g
Conserva sardine in sos tomat Aro,162,13.3,1.4,3.3,0.7,o cutie = 125g
Conserva sardine in sos tomat Clever,110,18,4,2,0,1 cutie = 125 g
Conserva sardine in sos tomat Home Garden,121,14,5.4,4.1,0,1 conserva = 110 g
Conserva sardine in sos tomat Proxi,177,21,10,1,0,1 conserva =125 g
Conserva sardine in sos tomat Vitae d'Oro,104,17.1,2.3,2.8,0,1 cutie = 125 g
Conserva sardine in suc propriu Puerto del Gusto,77,15.3,1.7,0,0,1 conserva = 200 g
Conserva sardine in ulei cu chili Vitae D'oro,160,24.8,6.7,0.1,0,1 cutie = 90 g.net
Conserva sardine in ulei de floarea soarelui Sun&Sea,222,21.7,14.8,0.5,0,
Conserva sardine in ulei de masline Aldi Sal de Plata R,208,22.2,13.2,0,0,1 cutie = 84 g
Conserva sardine in ulei de masline Cora,303,24,23,0,0,1 cutie fara lichid = 95 g
Conserva sardine in ulei Kaija,160,13,12,0,0,
Conserva sardine in ulei vegetal Aro,154,23.4,4.8,0.9,0,1 buc = 125 g
Conserva sardine in ulei vegetal Del Savol,340,17,30,0,0,1 conserva = 90 g/ dupa scurgere
Conserva sardine in ulei vegetal Old Fsherman,138,22.3,5.5,0,1.7,1 cutie = 200 g
Conserva sardine in ulei vegetal Yachtis,199,25,11,0,0,1 cutie = 125 g
Conserva sardine sos tomat Aguiar,285,23,21,0,0,
"Conserva Sardine, in ulei",292,22.5,21.4,0.3,0,
Conserva somon 365,147,19.1,7.9,0,0,
Conserva somon roz salbatic John West,131,20.4,5.4,0,0,1 conserva = 213 g
Conserva sprot afumat in ulei Graal,281,16.3,23.4,2.6,2.6,
Conserva sprot afumat in ulei Neptun,411,7.8,42.2,0,0,
Conserva sprot in sos de rosii Neptun,114,11.2,6.3,3.1,0,1 conserva = 170 g
Conserva sprot in sos tomat Fisherking,149,9,10,6,0,1 cutie = 170 g
Conserva sprot in sos tomat Santa Marina,95.4,8.7,5.5,2.8,0,1 conserva = 160 g
Conserva sprot in ulei Gran Mare,462,12,46,0,0,1 cutie = 170 g
Conserva sprot in ulei vegetal Novac,316,16,28,0,0,1 conserva = 240 g
Conserva sprot sos tomat Losos,144,12.3,7,7.9,0,1 cutie = 175 g
Conserva ton bucati  in suc propriu Princess,105,25,5,0,0,1 conserva = 130 g
Conserva ton bucati in sos propriu Carrefour,97,23,0.5,0,0,
Conserva ton bucati in suc propiu Puerto del Gusto,107,22.7,1.3,0,0,1 buc = 112 g net
Conserva ton bucati in suc propriu Cora,227,9.7,21,0,0,
Conserva ton bucati in suc propriu Sun & Sea,117.5,26,1.5,0,0,1 cutie = 56 g net
Conserva ton bucati in ulei de masline Sun & Sea Baltaxia,195.2,26.3,10,0,0,1 conserva = 185 g
Conserva ton bucati in ulei vegetal Home Garden,360,39,24,0,0,1 cutie mica = 56 g fara ulei
Conserva ton bucati in ulei vegetal Vultur,107,14.3,3,2.5,0,1 buc = 84 g
Conserva ton cu ulei de masline si usturoi Calvo,204,24,12,0,0,1 buc = 80 g
Conserva ton faramitat in suc propriu Carrefour,90,18,2,0,0,
Conserva ton in apa Siblou,116,26,1,0,0,1 cutie = 130g
Conserva ton in suc propriu Albacore,124,26,2,0.4,0,
Conserva ton in suc propriu Billa,95,22.5,0.6,0,0,
Conserva ton in suc propriu Calvo,101,24,0.6,0,0,1 buc = 56 g
Conserva Ton in suc propriu Delhaize,122,26,2,0,0,1 cutie = 56 g
Conserva ton in suc propriu Eva,447,23,1.5,0,0,1 buc = 112 g net
Conserva ton in suc propriu Premium Vitae D'Oro,97,23,0.6,0,0,1 conserva = 135 g net
Conserva ton in suc propriu Zapi,113,26,1,0.1,0,1 cutie =155 g net
Conserva ton in ulei de foarea soarelui Sun & Sea,190.8,25.5,10,0,0,1 buc = 80 g
Conserva ton in ulei de masline Calvo,204,24,12,0,0,1 conserva = 165 g
Conserva ton in ulei de masline Porto Rose,222,24,14,0,0,1 cutie = 80 g 
Conserva ton in ulei de masline Yellowfin,161,27,6.2,0,0,1 cutie = 170 g
Conserva ton in ulei Nixe,198,27,10,0,0,1 cutie = 55 g
Conserva ton in ulei Premium Vitae d`Oro,181,24.3,9.3,0.1,0,1 conserva = 185 g
Conserva ton in ulei vegetal Don Fernando ,182.5,24.7,9.3,0,0,1 cutie = 80 g
Conserva ton intreg in apa Mar Bravo,100,23.3,0.8,0,0,1 cutie = 170 g
Conserva ton maruntit cu rosii Auchan,122,18.7,4.4,1.7,0.3,104 g net
Conserva ton maruntit in  suc propriu Vitae D'Oro,111,25.5,1,0.1,0,1 buc = 135 g net
Conserva ton maruntit in suc propriu Corabioara,89,19.6,0,1,0,1 cutie = 160 g
Conserva ton maruntit in suc propriu Le Grande Famiglia,67,14.2,1.1,0,0,1 cutie = 170 g
Conserva ton maruntit in suc propriu Rezon,107,22.7,1.3,1.2,0,1 cutie = 170 g
Conserva ton maruntit in ulei La Grande Famiglia,193,13.3,14.9,0,0,1 cutie = 170 g
Conserva ton maruntit in ulei vegetal Aro,198,18,14,0,0,2 cutie=130 g net
Conserva ton maruntit in ulei vegetal Old Fisherman,200,18,14,0,0,1 conserva = 120 g
Conserva ton maruntit in ulei Vitae d'Oro,138,21.9,5.6,0.1,0,1 conserva = 185 g
Conserva ton maruntit Iska,116,26,1,0,0,
Conserva ton picant Home Garden,150,16,6,6,2,170
Conserva ton Tip,352,25,28,0,0,
Conserva tron in ulei de masline Ondina,204,24,12,0,0,1 conserva = 80g
Consrva sardine in ulei Merve,260,18,20,1,0,1 cutie = 200 g 
Crap afumat,200,28,8.8,0,0,
Crap romanesc Fresh Fish Lidl,153,22,7.2,0,0,
Crema de somon Cora,208,14.9,15.6,1.6,0.7,1cutie = 150 g
Creveti baby Auchan,59,12.6,0.9,0,0,
Creveti cruzi 16/20 Black Tiger,57,12,1,0,0,1 punga = 800 g
Creveti decorticati Borealis,82,19,0,0,0,1 punga = 500 g
Creveti fierti,99,20.9,1.1,0,0,
Creveti Jumbo King Sainsbury's,80,17.9,0.8,0.1,0.5,
Creveti natur La Caldera,50,11.1,0.6,0.1,0,1 punga = 225 g
Creveti prefierti XL Royal Greenland,70,15,1,0,0,
Creveti provencales Escal,78,10.7,3.9,0.1,0,1 cutie = 200 g
Creveti royal Greenland,75,16.6,1,0,0,1 cutie cu 18-22 bucati = 200 g
Crochete de merluciu Antonio y Ricardo,195,11.6,10,14.9,0,1 buc = 30 g
Crochete ton Vici,270,13.5,12,27,0,1 buc = 25 g
Dorada,89,18.9,0.9,0,0,
Ficat de cod afumat Officer,410,8,40,1,0,1 cutie = 120 g
Ficat de cod Carrefour,532,5.4,57,0,0,
Ficat de cod Larsen Mega Image,431,8,43,3,0,1 cutie = 115 g
File cod Alaska  pane Vita Star Kaufland,105,13,11,1,0,1 cutie = 400 g
File cod Paulus,78,17.7,0.7,0,0,
File de ansoa DLL Mega Image,168,20,10,0,0,1 borcanel = 66g peste
File de cod afumat Godehav,55,12.5,0.4,0,0,1 punga = 500 g
File de cod dezosat Trawlic,69,16,0.5,0,0,1 bucata = 100 g
File de hering in sos de ardei gras Nixe,212,11.6,15.5,6,0,1 buc = 200 g
File de macrou cu piele DelMare,158,20.1,14,0,0,1 punga = 500 g
File de macrou Edenia,205,19,14,0,0,1 punga = 600 g
