Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
 Seminte de dovleac Winny,416,24,31.5,9,0,1 punga = 200 g
Alune  sarate si prajite Mogyi,642,15.1,27.5,49.4,0,
Alune crude intregi Sano Vita,674,11.6,62.3,16.8,0,
Alune de padure Alesto,749,12.5,67.8,18,8.4,
Alune de padure coapte Carrefour,638,15.2,54,18.4,11,1 punga = 300 g
Alune de padure Coop,590,18,54,7,0,
Alune de padure crude 365,568,30,43,23,12.4,1 punga = 250 g
Alune de padure crude Cora,665,22.1,52.8,19.3,11.8,1 punga = 150 g
Alune de padure crude intregi SanoVita,674,11.6,62.3,16.8,0,1cutie=100g
Alune de padure crude Solaris,650,24.5,51.8,17,0,
Alune de padure decojite Fruit Orchard,673,15,62,18,9,1 punga = 200 g
Alune de padure in coaja subtire crude Orlando's,640,26.7,49.5,16.6,10.5,1 punga = 250 g
Alune de padure Poex,666,12,62,11,8.2,1 punga = 200 g
Alune de padure prajite Elmas,587,16.1,54.5,17.5,13.7,
Alune de padure prajite si sarate Carrefour,692,15.2,61.8,18.4,9,
Alune de pamant Carrefour,587,25.2,48.4,12.7,7.4,1 punga = 500 g
Alune decojite crude Carrefour,598,26.7,49.5,6.1,6.8,
Alune fara sare Stilla,604,26.7,48.8,14.4,5,
Alune in crusta Soltino,513,12.1,32.7,40.8,0,1 punga = 300 g
Alune padure prajite Casino,702,16,67,2.8,12,1 punga = 75 g
Alune picante cu paprika Felix,549,24.3,43.7,14.3,0,
Alune prajite fara ulei,594,17.3,51.5,23.4,9,
Alune prajite Hacendado,624,28.4,50.5,12.7,2.3,
Alune prajite Peanotter,680,24,52,14,8,1 punga = 330 g
Alune prajite si sarate Circuss,592,24.7,47.4,13.4,1,
"Alune prajite, nesarate Mogyi",638,27.5,51.5,15,7,1 punga = 170 g
Alune Star Naturals,547,23.4,44.1,14.1,9.5,
"Amestec caise, coacaze, goji, migdale ,floerea soarelui Nutribon",356,8,6.2,61,9,1 punga = 50 g
Amestec de nuci si alune crude Snacking Sport Max Fit Food Kluth,625,21.9,54.6,11.5,6.8,
Amestec nuci bio Bioking,616,15.5,55.4,14.1,0,
Amestec nuci si fructe Sunny Mix Fit Food,490,12.4,32.3,37.6,6.6,1 punga = 150 g
"Amestec nuci, fructe uscate si aloe vera Fit Food Kluth",406,5.7,15.8,60.2,5,1 punga =150 g
Amestec seminte Jasmin,558.9,21.4,41.4,25.2,11,1 punga = 250 g
Arahide Carrefour,620,25,53,12.6,6.8,1 punga = 500 g
Arahide coapte in pastaie Orlando's,622,25,46.7,21,9,1 punga = 150 g
Arahide coapte si sarate Orlando's,665,29.1,52.9,13.5,9.1,1 punga = 500 g
Arahide coapte Sunlit,570,25,50,12,9,
Arahide crude decojite Carrefour,598,26.7,49.5,6.1,0,
Arahide crude Fine Food,620,25,53,12.6,6.8,
Arahide cu coaja prajite uscat sarate 365,689,27.7,49.3,18.1,7.3,
Arahide decojite crude Orlando's,584,26.3,44.5,14.6,6.8,10 alune =10 g
Arahide decojite prajite cu sare Best,620,28,50,14,0,1 punga = 50 g
Arahide decojite prajite si sarate Crox,620,25,50.3,13.5,0,
"Arahide decojite, coapte si sarate Orlando's",639.4,25,48.6,21,9,
Arahide Happy Harvest,628,22,52.4,13.2,0,
Arahide in coaja prajite si sarate Real,620,25,53,12.6,7,1 punga = 500 g
Arahide in coaja subtire coapte si sarate Auchan,568,25.8,42.7,16.5,7,
Arahide in crusta de wasabi K-Classic,525,13,33,42,1,
"Arahide petrecarete coapte, usor sarate Nutline",607,26.5,47.7,14.3,7.1,1 punga = 300 g
Arahide prajite cu barbecue Best,620,28,50,14,0,1 punga = 100 g
Arahide prajite fara sare Soltino,610,26.6,48,14.4,0,
Arahide prajite in ulei si sarate Fiesta,627,25,53,12.6,6.8,
Arahide prajite si sarate cu coaja Best,620,28,50,14,0,
Arahide prajite si sarate Gusto,620,14,50,14,6.7,
Arahide prajite si sarate Soltino,605,25,50.1,13.5,0,
Arahide sarate in coaja Clarky's Plus,207,9.4,17,18,12,
Baton proteic Biotech Goprotein,422,25,17,40,0,1 baton = 80 g
Boabe de hrisca Solaris,343,13.2,3.4,71.5,10,1 punga = 500 g
Boabe de soia verzi,122,13.1,6.7,9.6,1.1,
Caju,553,18,44,30,3,
Caju Arimex,609,23.3,49,24,3,
Caju Cashews Natur Kauffland K-Classic,597,17,47,24,5,1 punga = 200 g
Caju crud Carrefour,588,18,44,30,3,
Caju crud Elmas,685,19,46,26,3,
Caju crud Fruit Orchard,553,18,44,30,0,
Caju crud Now Foods,600,16.7,46.7,26.7,10,
Caju crud Poex,609,18,47,27,3,1 punga= 200 g
Caju crud Solaris,584,18,45.7,19.6,0,1 punga = 150 g
Caju prajit cu sare Elmas,553,18,42,31,3,1 cutie = 140 g
Caju prajit si sarat Carrefour,581,16.8,47.7,18,3.3,1 punga = 50 g
Caju Seeberger,580,18,42,31,0,1 punga = 200 g
Carob SanoVita,222,4.6,0.7,43,1,
"Castane crude, fara coaja",97,1.4,0.1,23.9,3,
"Chef 4 seeds mix: dovleac, in, susan, floarea soarelui Orlando's",547,20,40.7,19.2,11.7,1 punga= 150 g
Cocktail mix Nutline,555,14.6,48.8,14.3,4.7,1 punga = 150 g
Faina de alune turcesti Paleolit,400,41.6,17,11.9,11.3,1 punga = 200 g
Faina de cocos Paleolit,314,19.2,8.1,20.8,40.5,1 punga = 300 g
Faina de in Solaris,546,22,38,29,27.3,
Faina de migdale Fruit Orchard,607,21,53,17,10.5,1 punga = 1 kg
Faina de nuci Paleolit,408,45.5,13.8,19.7,28.2,1 punga = 200 g
Faina de susan Paleolit,307,17.7,20.6,5.4,14.7,1 punga = 300 g
faina din seminte de in Herbal Sana,274,25.6,18,9,38,1 punga = 500 g
Faina migdale Now Foods,583,21,50,16.6,12.5,1 punga = 284 g
Fibra proteica din seminte de dovleac Green Natural Oil,541,24.5,45.8,17.8,0,
Fistic Alesto Pistazien ,648,22.4,53.9,16.2,7.5,1 punga = 250 g
Fistic copt cu sare Fine Foods,600,24,49,10,11,1 punga = 50 gr
Fistic copt si sarat Elmas,619,26.3,50.7,17.7,6.5,1 punga mica = 40 g
Fistic crud Cora,444,24.9,27.3,19.6,10.3,1 punga = 100 g
Fistic crud Fine Foods,598,21,48,16,10,1 punga = 250 g
Fistic Nutline,650,21.3,55.9,15.4,0,
Fistic prajit Felix,620,20,53,16,10.3,
Fistic prajit si sarat Best,603,33.2,12.9,44.5,0,1 punga = 50 g
Fistic prajit si sarat Mogyi,398,13.5,33,8.6,0,
Fistic prajit si sarat Traders Joe,615,23.8,51.3,10,7.5,
Fistic Urtekram eco,620,20,45,28,10,
Fulgi de migdale Mandeln,622,20.5,54.8,3.8,0,1 punga =100 g
Fulgi de migdale Poex,578,21,51,20,12,1 punga =100 g
Fulgi de nuca de cocos Ubernuts,660,6.9,64.5,23.6,16.3,1 punga = 100 g
Fulgi migdale Fruit Orchard,621.5,24.1,54.1,10,0,
Gustare delicioasa de seminte Solaris,590,18,58,10,14,1 punga = 150 grame
Miez crud de seminte dovleac Pirifan,595,30.2,49.1,4.7,6,200
Miez crud floarea soarelui Jasmin,635,15.9,56.6,11.2,8.6,
Miez de floarea soarelui Elmas,564,21.2,49.4,17.6,0,
Miez de floarea soarelui Seeberger,594,23,49,12,0,
Miez de nuca Carrefour,691,9,72,14,9,
Miez de nuca Mega Image,652,16.1,59.7,18.1,10.9,1 punga = 250 g
Miez de nuca Orlando`s ,646,19.8,60,3.7,6,
Miez de nuca Select Horeca,700,7.5,70,3,0,1 punga = 1000 g
Miez de nuca Transilvan,674,15,65,14,7,
Miez dovleac 365,463,24,31.5,19,3.8,100
Miez dovleac crud Fruit Orchard,540,25,45.8,17,3.9,1 punga = 200 g
Miez fistic crud Fruit Orchard,650,22.3,54,13.8,4.5,
Miez nuca Atco,675,14.4,62.5,10.6,6.1,
Miez nuca Kornkammeret,700,11,64,11,5.5,
Miez prajit si sarat seminte de floarea soarelui Clever,592,20,51,3.1,10.6,
Miez seminte de dovleac crud Jasmin,582,24.5,45.8,17.8,3.9,1 punga = 250 g
Miez seminte de floarea soarelui Gardis,576,19,48,17,3,1 punga = 500 g
Miez seminte floare soarelui crude Gardis,590,19,48,17,3,1 mana = 30 g
Miez seminte floarea soarelui prajit si sarat Mega Image 365,682,24.2,58.8,11.1,3,
Miez seminte floarea soarelui Sano Vita,575,22.5,49,12.3,0,1 punga = 500 g
Migdale Auchan,635,25.1,56.9,5.5,16.5,
Migdale Campobasso,576,19,53.5,4.8,0,1 punga = 250 g
Migdale coapte Elmas,580,25.4,44.6,24.6,10.8,
Migdale coapte Seeberger,644,22,56,8.6,0,
Migdale crude Awake,663,24.2,52,20.5,11.8,
Migdale crude Carrefour,640,24,55,13.2,12,
Migdale crude Fine Food,657,22,50,23,13,
Migdale crude Ganze,575,21.2,49.4,21.7,12.2,1 punga = 200 g
Migdale crude intregi SanoVita,579,21,51,20,0,1 cutie = 100 g
Migdale crude Mandenh DeliGrun,619,18.5,56.7,3.6,16.1,
Migdale crude Orlando's,631.2,21.8,50.4,22.6,12.7,
Migdale crude Solaris ,575,21.2,49.4,9.5,12.2,
Migdale feliate Poex,578,21,51,20,12,1 punga = 100 g
Migdale in coaja Sunlit,596,21.3,50.6,7.9,11.8,1 punga= 1 kg
Migdale intregi Stilla Natura,623,24.1,54.1,10,0,1 punga = 500 g
Migdale macinate Aldi,619,24,53,5.7,0,
Migdale maruntite Poex,601,27,50,16,11,1 punga = 100 g
Migdale prajite cu sare Fine Food,661,21.2,54,18,9,1 punga = 50 g
Migdale prajite Nutline,644,25.9,55.4,10.6,0,1 punguta = 50 g
Migdale prajite Soltino,610,18.4,54.2,12.1,0,
Migdale uscate decojite Peyman Dor Leo,597,22.1,52.8,19.3,0,1 punga = 40 g
Miiez de nuca Farmer,619,24.1,59.3,9.6,0,1 cutie = 175 g
Mix 4 seminte Inima Naturii,561,24,41.2,13.6,9,
Mix berry & nuts Mani,430,13.5,22.7,40.6,4,1 punga = 50 g
Mix de alune Carrefour,600,18.2,43,21.9,9,1 punga = 150 g
Mix de nuci crude Clever,587.9,20.7,43.1,24.9,0,
Mix de nuci Deluxe Lidl,700,17.4,62.6,12.4,0,1 punga = 200 g
Mix de seminte si fructe Tentatii Dulci Solaris,530.8,20.8,36.7,36.6,10.3,
Mix nuci coapte si sarate Caputo,604,23.3,53.6,18.2,8.6,1 cutie = 200 g
Mix seminte SanoVita,578,22,46,11,12.3,1 punga = 150 g
Muguri de pin ,708,14,68,12,5.7,
Mustar Cio,507,25.8,34.7,30.2,16.8,1 cutie = 50 g
Nuca de cocos rasa Alex,456,2.9,27,50.3,9.8,
"Nuca de cocos, proaspata",354,3.9,33.5,15.2,9,
Nuci,654,15.2,65.2,13.7,6.7,
Nuci Brazilia crude Carrefour,693,17.4,66.3,3.3,0,1 punga = 200 g
Nuci braziliene Clarkys,695,16,67,3.6,6.7,
Nuci braziliene Earth Control,680,14,66,5,7.5,1 punga = 140 g
Nuci braziliene Pronat,656,13.4,66.4,12.2,7.5,
Nuci de Amazonia Mega Image,691,14.1,68.2,3.1,4.3,1 nuca = 2-3 g
Nuci de brazilia ecologice Bio Natur,656,14.3,66.4,12.3,7.5,1 punga = 150 g
Nuci de grenoble Cedar,642.8,14.2,64.2,17.8,3.5,
Nuci macadamia,718,7.9,75.8,13.8,8.6,
