Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Aluat fraged simplu Linco Patisero,451,5.4,29,41,0,
Alune cu sare Penny,622,25,50.3,13.5,0,1 punga = 200 g
Alune invelite in ciocolata Sensations,480,14,21,56,2.8,1 punga = 155 g
Alune prajite si sarate Felix,596,25,49,14,8.5,
Amestec fructe padure uscate si alune crude Fit food Kluth,370,7.3,16.6,47.7,4.7,1 punga = 150 g
Arahide decojite prajite cu sare Aro,617,26,51,8.8,0,
Arahide prajite fara sare Best Peanuts,620,28,50,14,0,1 punga mica = 50 g
Bake rolls cu usturoi 7 Days,445,13,14.5,63.5,0,
Bake Rolls pizza 7 Days,496,14,16,71,4,
Baton cereale cu fructe tropicale si iaurt Active Bar Rommac,321,6,2,77,10,1 baton = 30 g
Baton cereale pentru controlul greutatii Carrefour,307,10,9.5,57,13,1 baton = 60g
Baton cu cereale Carrefour,318,10,5.5,57,10,1 baton = 60 g
Baton cu mac Carrefour,293,11.4,2.8,55.6,0,1 baton = 80 g
Baton cu musli si piersici FirstNice,432,6.2,18.2,60.8,0,
"Baton cu musli, cocos si cacao First Nice",427,7.2,18,60,0,1 baton = 30 g
Baton cu prune tarate de ovaz si migdale Pirifan,136,2.4,3.8,21.5,4.5,1 baton = 40 g
Baton de ovaz afine Ma Baker,439,5.9,20.1,59.3,0,1 baton = 90 g
"Baton din caise, cu alune, fructe de padure, cereale fara gluten Nutribon",345,7.7,11.4,55.4,9.1,1 baton = 40 g
Baton energetic cu iaurt si portocala Das Gesunde Plus,137,4.2,4.2,20.7,0.1,1 baton = 35 g
Baton energizant Energy Bar Red Cat,429,10.3,17.5,56,12.9,1 baton = 35 g
Baton LowCarb ciocolata Best Body Nutrition,373,48,13,25,0,1 baton = 40 g
Baton migdale crocant Rewe,559,12.9,38.6,36,0,1 baton = 25 g
Baton musli cu arahide prajite Sirius,391,7.9,13.2,65.7,4.7,1 baton = 25 g
Baton nougat Weight Watchers,346,22.5,11.2,40.7,7.4,1 baton = 58 g
Baton proteic cu aroma de lamaie Herbalife,405,28,13,45,0.4,1 baton = 35 g
