Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Bulion Ortomio,23,1.2,0.3,3,0,
Dressing cu iaurt McDonalds,210,2,20,6,0,1 plic = 50 ml
Dressing italian Kraft,33.3,0,1.3,6.6,0,
Dressing salata Island,362,0.7,36.8,7.1,0,
Humus cu tahini Darinne,134,6.7,6.7,13,0,1 cutie = 380 g
Ketchup curry light Hela,74,0.9,0.3,16.9,0,
Ketchup dulce Tomi,72,1,0,17,0,1 lingurita plina =10 g
Ketchup Heinz,103,0.9,0.1,24.1,0.1,
Ketchup iute 365 Mega Image,58,0.6,0,16.5,0,1 tub = 500 g
Ketchup KFC,85,2,0.6,18,0,1 buc = 50 g
Ketchup Napoli Hellmann's,110,1.6,0.1,24,0.8,
Ketchup picant Carrefour,50,1,0,11.2,0,1 tub = 480 g
Ketchup picant Tomi,78.4,1.1,0,18,0,
Maioneza 3% Ligeresa,75,0.6,3,11,0.6,
Maioneza Calve Casera,480,0.8,51,4,0,
Maioneza cu usturoi Olympia,244,0.2,25,7.8,0,1 tub = 480 g
Maioneza de acasa Polimark,540,1.8,58,2.6,0,1 borcan = 500 ml
Maioneza Heinz,660,0.9,71.5,3,0,
Maioneza Hellmann's original,710,1,78,3,0.1,1 borcan = 225 ml
Maioneza light  Mills,730,1,80,2,0,1 cutie = 330 g
Maioneza light Hellmann`s,280,0.6,27,9,0,1 borcan = 420 ml
Maioneza Mikado,699,0.9,75.8,3.1,0,
Maioneza pentru salata Delique,465,0.4,49.3,4.8,0,
Mustar clasic Mikado,118.9,4.8,5.1,11.6,3.7,
Mustar cu hrean Kamis,102,5.2,4.6,9.9,0.1,1 borcan = 185 g
Mustar Dijon D&L,177,8.1,11.5,7.8,0.1,1 borcan = 300 ml
Mustar din Tecuci cu boabe Olympia,107,5.4,5.7,7,0,
Mustar dulce La Minut,80,4,4.2,6.6,0,1 borcan = 290 g
Mustar dulce Tomi,132,4,4,20,0,1 lingura = 10 g
Mustar Iute Bunatati de la Bunica,114,5,6,5,0,1 borcan = 300 g
Otet balsamic de zmeura De Nigris,150,0,0,3,0,1 puf = 15 ml
Pasta anghinare Lidl,416,0.9,44.3,1.5,0,
Pasta de ardei iute Piros  Arany,71,2.1,4.4,5.8,0,1 tub = 160 g
Pasta de hrean Auchan,141,1.7,7.7,16.3,3.2,1 borcanel = 130 g
Pasta de masline Kalamata Delphi,212.2,1.8,22.2,1.3,1.9,
Pasta de masline negre Xenia,206,2,20.5,3.3,3,1 borcan = 135 g
Pasta de rosiii Pomi,30,1.3,0.2,5,1.5,
Pasta de tomate 30% Home Garden,97,5.6,1.5,14,0,1 borcan = 80 g
Pasta de tomate Nostia Lidl,32,1.6,0.3,5,0,
Pasta tomate Freshona,24,1.1,0.1,3.8,0,1 cutie = 500 g
Pesto Italian herb Jamie Oliver,470,6.9,45.9,6.1,3.5,1 borcan = 190 g
Rosii decojite intregi Carrefour,25,1,0,4,0,
Rosii pasate Heinz,26,1.3,0.2,4,0,1 cutie = 500 g
Salsa Tostitos,50,0,0,10,3.3,
Sos 4 formaggi Panzani,123,4.6,9.5,4.4,0.5,1 borcan = 370 g
Sos All iOli Hacendado,735,1.1,80.5,1.3,0,
Sos Arrabbiata Barilla,62,1.5,3.5,6,2,1 borcan = 400 g
Sos Basilico Delhaize,63,1.5,3.5,6.1,0.5,1 borcan = 500 g
Sos Bechamel Knorr,85,3.5,3.5,9,0.2,
Sos Bolognese Speciale cu usturoi si ceapa Dolmio,41,1.4,0.6,6.6,0,1 borcan = 500 g
Sos Caesar KFC,220,0.2,21.8,5.6,0,1 buc = 50 g
Sos carbonara Panzani,127,4,10,5.1,0.4,1 borcan = 370 g
Sos chili Univer,122,0.7,0.8,26,1.6,1 sticla = 280 g
Sos chinezesc Uncle Ben's,90,0.4,0.1,21.6,0,
Sos crema de iaurt pentru salata Hamker,325,1.2,30.2,12.2,0,1 borcan = 500ml
Sos cu carne pentru paste bolognese Baneasa,98,5.1,6.7,6.6,0,1 borcan = 420 g
Sos cu pasta de tomate 24% Regal,612,1.5,0,14,0,1 cutie = 540 g
Sos cu usturoi Olympia,447,0.6,43.8,10.1,0,1 cutiuta = 55 g
Sos curry Delhaize,624,1.2,69.9,4.3,0.1,
Sos de ardei iute Chili Vifon,84,0,0,21,0,
Sos de branza Hot Cheese Dip Clarky's,172,1.9,12.2,13.6,0,1 borcan=245 ml
Sos de maioneza Auchan,279,0.6,27.1,8.2,0,
Sos de maioneza cu ou Hamker,468,0.4,51.1,1.1,0,
Sos de maioneza fara ou Hamker,413,0.5,45,1.4,0,
Sos de maioneza light Don Gustosso,280.8,0,27.9,7.5,0,1 lingura = 25 g
Sos de maioneza vegetala Inedit,360,1.8,36.3,6.4,0,1 borcan = 200 g
Sos de piper Schawartz,349,16.8,5.6,55.2,5.3,
Sos de rosii Bella Parma,34,1.4,0.5,5.9,1.4,1 sticla = 680 g
Sos de rosii Capricii di Delicii Mega Image,390,2.6,40,4,0.1,1 borcan = 200 g
Sos de rosii cu suc de lamaie Olympia,23,0,0,5.6,0,
Sos de rosii Passata di pomodoro San fabio,25.3,1.8,0.1,3.8,1,1 cutie = 500 g
Sos de rosii si anghinare Delhaize,41,1,3.1,2.4,2.2,
