Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
 Suplimente Advanced Whey Aor,365,60,6.8,27.5,0,
100% ultra pure whey protein Muscle Line,389,80,4.8,6.6,0.7,1 cutie = 2 kg
100% Whey Isolate Scitec Nutrition,395.8,83.3,4.2,8.3,0,1 cupa = 24 g
100% Whey Protein California Fitness,492.6,94.8,6.1,9.1,0.1,1 cupa = 33 g
24 Rebuild Strenght Herbalife,380,48,3,36,0,1 cutie = 1010 g
Amino 12500 Pro Nutrition,190,50,0,0,0,
Amino Liquid 50 Scitec Nutrition,260,50,0,10,0,
Aminoacizi lichizi Weider,250,51.5,0.1,12.4,0.1,
Batoane energetice cu pere si ciocolata Optonia,303,2.1,2.7,66,1,1 baton = 30 g
Batoane hiperproteice Ligne & equilibre Carrefour,413,23,13,53,1.6,1 baton = 31 g
baton bio cu seminte de canepa si cacao Canah,374,10,20,33,6,1 baton = 48 g
Baton caramel Protein Plus Power Bar,386,27.6,11,44,3.5,1 baton = 35 g
Baton cu fulgi de grau germinat Granobar Redis,460,8.3,20,61.7,5,1 buc = 60 g
Baton cu prune si Omega 3 Pirifan,360,6.9,11.6,51,11,1 baton = 40 g
"Baton cu smochine, fibre, tarate de ovaz si migdale Pirifan",358,8.3,9,55,14,1 baton = 40 g
Baton din zer cu afine Das Gesunde Plus,424,16.7,17,50,2.2,1 baton = 35 g
Baton din zer latte machiatto Das gesunde Plus,415,16.5,16,50,2.6,1 baton = 35 g
Baton Energy for Life Pro Nutricion,433,20.7,17.2,47.4,2,1 baton = 55 g
Baton fibre Q-form Rommac,305,10,2.5,62.5,21,1 baton = 60 g
Baton fitness proteic cookies Das gesunde Plus,399,32,10.5,46,0.5,1 baton = 45 g
Baton gust de ciocolata Q-Form Rommac,401,17,7.2,67,3,1 baton = 60 g
Baton nutritiv cu cereale si alune Nutribar-R Redis,481.6,15,20,50.5,3.4,1 buc = 60g
Baton Power Bar Ride ,387,18.6,16.6,40.9,7.4,1 baton = 55 g
Baton proteic 52% Protein Bar Weider,360,52,8.9,28,0,1 baton =50 g
Baton proteic cu menta si cipsuri e ciocolata Pulsin,476,25,23,38.6,8,1 buc = 50 g
Baton proteic Double Pro Bar 30% Protein Multipower,394,30,10.4,45,0,1 buc = 60 g
Baton proteic energizant Q-form,413,23.3,11.6,53,3.3,1 baton = 60 g
Baton proteic Maximum protein 42 % Power House,390,42,8.2,40,0,1 baton = 100 g
Baton proteic Muscle Protein Bar Nutrend,435,21.8,18.2,45.9,1.8,1 baton = 55 g
Baton proteic My Bar Zero MyProtein,305,30.1,9.2,6.2,0,1 baton = 65 g
baton proteic Nutrend Excelent,437,24,18.6,42,2.1,1 buc = 85 g
Baton proteic Pronutrition bar,433,20.7,29.6,47.4,2,1 baton = 55 g
Baton proteic vanilla toffee fudge Oh Yeah,422,33.3,20,37.7,4.4,1 baton = 45 g
Baton Protein 2 To Interactive Nutrition,375,30.6,9.7,45.8,5,1 baton = 72 g
Baton proteine 32% Protein Bar Weider,390,32,10.2,42.6,0,
Baton proteine 40% low carb high protein bar Weider,322,40,9,20.3,0,
Baton proteine double pro bar Weider,414,28,11.7,49,0,
Baton Q-Form Rommac,330,8.3,3.3,66.7,10,1 buc = 60g
Baton Siluet Bar Redis,388,25.8,17.2,31.8,5.5,1 buc = 40 g
Bautura energizanta Energy Drink Additiva,380,1,1,88.1,1,1 plic = 27.5 g
BCAA My Protein,400,100,0,0,0,
Beef gelatin powder Now Foods,360,90,0,0,0,
Cacao boabe Nutrisslim,342,19.8,24.5,10.8,32.7,1 cutie = 250 g
Carbo Nox Olimp Sport Nutrition,381,0,0.1,95,0,1 punga = 1 kg
Carnitina lichida Dymatize,80,0,0,20,0,1 masura = 15 ml
Casein & Whey Protein chocolate Aptonia,362,76.8,2.3,7,0,1 pliculet = 40 g
Cazeina micelara fara aroma My Protein,390,88,1.5,6,0,1 cupa = 30 g
Cher-Amino Protein Cherry Flavor Twinlab,266.6,50,0,16.6,0,1 tub = 960 ml
Concentrat proteic zer fara arome Redis,398,80,5.3,7.6,0,1 cupa = 30 g
Creatina Power Tech Dymatize,325,10,0,78,3,2 cupe = 100 g
Dextrosza ProNutrition,398.4,0,0,99.6,0,
Dextroza Redis,400,0,0,100,0,
Fibre dieta plus inulina Rommac,218,2.5,0.2,71,20,
Fibre mix Sanovita,96,3,7.4,3.5,328,1 punga = 200 g
Fibrobar Winny,320,17,15,45,25,1 bucata = 60 g
Fitness drink Pro Nutrition,17.1,0,0,4.1,0,1 sticla = 0.5l
Gelatina pudra Now Foods,300,90,0,0,0,
Glutamina FX Pro Nutrition,38.2,33.3,0,4.5,0,1 plic = 15 g
Impact diet whey My Protein,362,57,7.4,15,3.8,
Impact Whey Protein Cookies&Cream MyProtein,373,80,7.3,4.9,0,1 portie = 25 g
Inulina supliment pak Redis,120,0,0,97,90,
Izolat proteit din soia Redis,379,91.8,3.3,1,1,1 cupa = 25 g
L-Carnitina lichida Now Foods,106.8,0,0,26.7,0,1 lingura = 15 ml
Lean Whey Optimum Nutrition,375,77,4.6,5.6,1.6,1 cupa = 26 g
Lecitina de soia natur Tierra,873,0,97,0,0,
Long protein ciocolata si cacao Nutrend,365,77.6,3.6,4.2,2.5,2 cupe = 30 g
Mass Gain System Nutritech,370.1,45.2,3.1,38,0,
Mega amino 3500 Biotech,315,89,0,0,0,1 pastila = 8 g
MyoMax 10 in1 Scitec Nutrition,394.6,30.3,2.6,44,0,
Paste Konjac Wonder Noodles,5.3,0,0,0,2.7,
Polen crud poliflor Apiland,335,21.2,8,37.7,13.7,1 cutie = 250 g
Protein Bar chocolate chip cookie dough QuestBar,316.7,35,13.3,35,28.3,1 buc = 60 g
